
==================================================
🚀 TRAINING GRPO CON GIUDICE QWEN-0.5B (Security Domain)
==================================================
🔄 Avvio training GRPO...
{'loss': -0.0702, 'grad_norm': 0.65625, 'learning_rate': 9.959999999999999e-07, 'num_tokens': 10307.0, 'completions/mean_length': 87.775, 'completions/min_length': 64.6, 'completions/max_length': 127.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 87.775, 'completions/min_terminated_length': 64.6, 'completions/max_terminated_length': 127.4, 'rewards/lazy_penalty_reward/mean': 0.0, 'rewards/lazy_penalty_reward/std': 0.0, 'rewards/strict_format_and_content_reward/mean': 1.6, 'rewards/strict_format_and_content_reward/std': 0.887174105644226, 'rewards/semantic_consistency_reward/mean': 0.03999999761581421, 'rewards/semantic_consistency_reward/std': 0.08944271802902222, 'rewards/conditional_perplexity_reward/mean': 0.2033346951007843, 'rewards/conditional_perplexity_reward/std': 0.07305933460593224, 'reward': 1.843334674835205, 'reward_std': 0.9274021066725254, 'frac_reward_zero_std': 0.0, 'entropy': 1.5574040800333022, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 29.92460222002119, 'epoch': 0.01}
{'loss': -0.1116, 'grad_norm': 0.71484375, 'learning_rate': 9.409999999999999e-07, 'num_tokens': 124586.0, 'completions/mean_length': 90.075, 'completions/min_length': 54.2, 'completions/max_length': 142.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 90.075, 'completions/min_terminated_length': 54.2, 'completions/max_terminated_length': 142.0, 'rewards/lazy_penalty_reward/mean': -0.125, 'rewards/lazy_penalty_reward/std': 0.3535534143447876, 'rewards/strict_format_and_content_reward/mean': 1.625, 'rewards/strict_format_and_content_reward/std': 0.7241603136062622, 'rewards/semantic_consistency_reward/mean': 0.020000001788139342, 'rewards/semantic_consistency_reward/std': 0.3260016977787018, 'rewards/conditional_perplexity_reward/mean': 0.21226203739643096, 'rewards/conditional_perplexity_reward/std': 0.0675143152475357, 'reward': 1.7322620272636413, 'reward_std': 1.3757399290800094, 'frac_reward_zero_std': 0.0, 'entropy': 1.5421635150909423, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 32.367983140004796, 'epoch': 0.12}
{'loss': 0.0448, 'grad_norm': 0.71875, 'learning_rate': 9.36e-07, 'num_tokens': 135077.0, 'completions/mean_length': 89.775, 'completions/min_length': 59.4, 'completions/max_length': 141.0, 'completions/clipped_ratio': 0.05, 'completions/mean_terminated_length': 84.27142944335938, 'completions/min_terminated_length': 59.4, 'completions/max_terminated_length': 123.6, 'rewards/lazy_penalty_reward/mean': -0.75, 'rewards/lazy_penalty_reward/std': 1.3887300968170166, 'rewards/strict_format_and_content_reward/mean': 0.7, 'rewards/strict_format_and_content_reward/std': 2.4806503772735597, 'rewards/semantic_consistency_reward/mean': -1.4901161193847657e-09, 'rewards/semantic_consistency_reward/std': 0.19318652153015137, 'rewards/conditional_perplexity_reward/mean': 0.22819900810718535, 'rewards/conditional_perplexity_reward/std': 0.07874780520796776, 'reward': 0.1781989574432373, 'reward_std': 3.9191678047180174, 'frac_reward_zero_std': 0.0, 'entropy': 1.5562588781118394, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 31.137416300037877, 'epoch': 0.13}
{'loss': -0.0151, 'grad_norm': 0.7734375, 'learning_rate': 9.31e-07, 'num_tokens': 145160.0, 'completions/mean_length': 85.575, 'completions/min_length': 55.0, 'completions/max_length': 133.8, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 82.94642944335938, 'completions/min_terminated_length': 55.0, 'completions/max_terminated_length': 117.6, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.125, 'rewards/strict_format_and_content_reward/std': 1.7446213960647583, 'rewards/semantic_consistency_reward/mean': 0.0949999988079071, 'rewards/semantic_consistency_reward/std': 0.10239977836608886, 'rewards/conditional_perplexity_reward/mean': 0.23699003756046294, 'rewards/conditional_perplexity_reward/std': 0.07393431439995765, 'reward': 1.2069900155067443, 'reward_std': 2.443539929389954, 'frac_reward_zero_std': 0.0, 'entropy': 1.4536079086363316, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 31.7710226399824, 'epoch': 0.14}
{'loss': -0.0524, 'grad_norm': 0.8046875, 'learning_rate': 9.26e-07, 'num_tokens': 155410.0, 'completions/mean_length': 89.75, 'completions/min_length': 55.2, 'completions/max_length': 136.6, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 86.98214416503906, 'completions/min_terminated_length': 55.2, 'completions/max_terminated_length': 125.6, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.625, 'rewards/strict_format_and_content_reward/std': 0.8706783294677735, 'rewards/semantic_consistency_reward/mean': 0.14499998986721038, 'rewards/semantic_consistency_reward/std': 0.4652854561805725, 'rewards/conditional_perplexity_reward/mean': 0.2371920645236969, 'rewards/conditional_perplexity_reward/std': 0.08017071411013603, 'reward': 1.7571920990943908, 'reward_std': 1.9246576488018037, 'frac_reward_zero_std': 0.0, 'entropy': 1.4159122347831725, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 30.96185075994581, 'epoch': 0.15}
{'loss': 0.0008, 'grad_norm': 0.921875, 'learning_rate': 9.21e-07, 'num_tokens': 165880.0, 'completions/mean_length': 90.75, 'completions/min_length': 55.2, 'completions/max_length': 135.4, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 88.40357208251953, 'completions/min_terminated_length': 55.2, 'completions/max_terminated_length': 120.8, 'rewards/lazy_penalty_reward/mean': -0.375, 'rewards/lazy_penalty_reward/std': 1.0606602430343628, 'rewards/strict_format_and_content_reward/mean': 1.4, 'rewards/strict_format_and_content_reward/std': 1.3020854949951173, 'rewards/semantic_consistency_reward/mean': 0.10499999821186065, 'rewards/semantic_consistency_reward/std': 0.19594736099243165, 'rewards/conditional_perplexity_reward/mean': 0.23053145110607148, 'rewards/conditional_perplexity_reward/std': 0.08581858575344085, 'reward': 1.3605314493179321, 'reward_std': 2.4533245392143725, 'frac_reward_zero_std': 0.0, 'entropy': 1.5159758090972901, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 31.200672760186716, 'epoch': 0.16}
{'loss': 0.0263, 'grad_norm': 0.72265625, 'learning_rate': 9.16e-07, 'num_tokens': 176371.0, 'completions/mean_length': 96.875, 'completions/min_length': 61.4, 'completions/max_length': 151.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 96.875, 'completions/min_terminated_length': 61.4, 'completions/max_terminated_length': 151.4, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.625, 'rewards/strict_format_and_content_reward/std': 0.8706783294677735, 'rewards/semantic_consistency_reward/mean': 0.1749999925494194, 'rewards/semantic_consistency_reward/std': 0.37863369584083556, 'rewards/conditional_perplexity_reward/mean': 0.2304343670606613, 'rewards/conditional_perplexity_reward/std': 0.07010324522852898, 'reward': 1.7804343461990357, 'reward_std': 1.5837013304233551, 'frac_reward_zero_std': 0.0, 'entropy': 1.5142791703343392, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 34.43252653987147, 'epoch': 0.17}
{'loss': -0.0913, 'grad_norm': 0.7734375, 'learning_rate': 9.109999999999999e-07, 'num_tokens': 187614.0, 'completions/mean_length': 93.575, 'completions/min_length': 56.0, 'completions/max_length': 154.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 93.575, 'completions/min_terminated_length': 56.0, 'completions/max_terminated_length': 154.8, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.35, 'rewards/strict_format_and_content_reward/std': 1.3639103174209595, 'rewards/semantic_consistency_reward/mean': 0.06999999731779098, 'rewards/semantic_consistency_reward/std': 0.23092896938323976, 'rewards/conditional_perplexity_reward/mean': 0.21184185147285461, 'rewards/conditional_perplexity_reward/std': 0.07049783691763878, 'reward': 1.3818418979644775, 'reward_std': 2.19633799046278, 'frac_reward_zero_std': 0.0, 'entropy': 1.618261282145977, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 34.196799140004444, 'epoch': 0.18}
{'loss': -0.1221, 'grad_norm': 0.73046875, 'learning_rate': 9.06e-07, 'num_tokens': 197553.0, 'completions/mean_length': 84.375, 'completions/min_length': 59.2, 'completions/max_length': 122.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 84.375, 'completions/min_terminated_length': 59.2, 'completions/max_terminated_length': 122.2, 'rewards/lazy_penalty_reward/mean': 0.0, 'rewards/lazy_penalty_reward/std': 0.0, 'rewards/strict_format_and_content_reward/mean': 1.775, 'rewards/strict_format_and_content_reward/std': 0.6363960862159729, 'rewards/semantic_consistency_reward/mean': 0.04999999701976776, 'rewards/semantic_consistency_reward/std': 0.3026996850967407, 'rewards/conditional_perplexity_reward/mean': 0.2043827384710312, 'rewards/conditional_perplexity_reward/std': 0.062077707052230834, 'reward': 2.0293827772140505, 'reward_std': 0.8294191017746926, 'frac_reward_zero_std': 0.0, 'entropy': 1.466899999976158, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 27.847582999942823, 'epoch': 0.19}
{'loss': -0.116, 'grad_norm': 0.64453125, 'learning_rate': 9.01e-07, 'num_tokens': 208206.0, 'completions/mean_length': 95.625, 'completions/min_length': 49.6, 'completions/max_length': 155.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 95.625, 'completions/min_terminated_length': 49.6, 'completions/max_terminated_length': 155.0, 'rewards/lazy_penalty_reward/mean': 0.0, 'rewards/lazy_penalty_reward/std': 0.0, 'rewards/strict_format_and_content_reward/mean': 1.85, 'rewards/strict_format_and_content_reward/std': 0.4242640495300293, 'rewards/semantic_consistency_reward/mean': 0.07499999701976776, 'rewards/semantic_consistency_reward/std': 0.22008092403411866, 'rewards/conditional_perplexity_reward/mean': 0.24838066697120667, 'rewards/conditional_perplexity_reward/std': 0.07371093407273292, 'reward': 2.173380708694458, 'reward_std': 0.666347949206829, 'frac_reward_zero_std': 0.0, 'entropy': 1.4829549551010133, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 36.238776080030945, 'epoch': 0.2}
{'eval_loss': -0.027146629989147186, 'eval_runtime': 1356.8646, 'eval_samples_per_second': 0.074, 'eval_steps_per_second': 0.01, 'eval_num_tokens': 208206.0, 'eval_completions/mean_length': 92.4125, 'eval_completions/min_length': 58.18, 'eval_completions/max_length': 142.76, 'eval_completions/clipped_ratio': 0.02, 'eval_completions/mean_terminated_length': 90.3404768371582, 'eval_completions/min_terminated_length': 58.18, 'eval_completions/max_terminated_length': 133.2, 'eval_rewards/lazy_penalty_reward/mean': -0.225, 'eval_rewards/lazy_penalty_reward/std': 0.5631371068954468, 'eval_rewards/strict_format_and_content_reward/mean': 1.565, 'eval_rewards/strict_format_and_content_reward/std': 0.9916397881507873, 'eval_rewards/semantic_consistency_reward/mean': 0.09049999430775642, 'eval_rewards/semantic_consistency_reward/std': 0.21976639568805695, 'eval_rewards/conditional_perplexity_reward/mean': 0.22065793812274934, 'eval_rewards/conditional_perplexity_reward/std': 0.07543005459010602, 'eval_reward': 1.6511579358577728, 'eval_reward_std': 1.7001177259534597, 'eval_frac_reward_zero_std': 0.0, 'eval_entropy': 1.5681822323799133, 'eval_clip_ratio/low_mean': 0.0, 'eval_clip_ratio/low_min': 0.0, 'eval_clip_ratio/high_mean': 0.0, 'eval_clip_ratio/high_max': 0.0, 'eval_clip_ratio/region_mean': 0.0, 'epoch': 0.2}
{'loss': -0.0383, 'grad_norm': 0.6875, 'learning_rate': 8.96e-07, 'num_tokens': 218757.0, 'completions/mean_length': 89.275, 'completions/min_length': 60.2, 'completions/max_length': 126.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 89.275, 'completions/min_terminated_length': 60.2, 'completions/max_terminated_length': 126.8, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.4, 'rewards/strict_format_and_content_reward/std': 1.5070744037628174, 'rewards/semantic_consistency_reward/mean': 0.11499999761581421, 'rewards/semantic_consistency_reward/std': 0.32800954580307007, 'rewards/conditional_perplexity_reward/mean': 0.20716216862201692, 'rewards/conditional_perplexity_reward/std': 0.0672133944928646, 'reward': 1.4721622169017792, 'reward_std': 2.2014371037483214, 'frac_reward_zero_std': 0.0, 'entropy': 1.5096533268690109, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 29.115997140016407, 'epoch': 0.21}
