📥 Caricamento modello: Qwen/Qwen2.5-3B-Instruct...
🚀 Lancio Training Qwen 3B - Mode: Ground Truth Comparison
Dataset: ../dataset_qwen_safe_only_v2
🚀 Lancio Training Qwen 3B - Mode: Ground Truth Comparison
{'loss': -0.0171, 'grad_norm': 0.984375, 'learning_rate': 1.9771428571428574e-05, 'num_tokens': 22208.0, 'completions/mean_length': 49.6, 'completions/min_length': 38.0, 'completions/max_length': 60.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 49.6, 'completions/min_terminated_length': 38.0, 'completions/max_terminated_length': 60.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.3936800569295883, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.28717870712280275, 'rewards/reward_technical_quality_fn/mean': 1.725, 'rewards/reward_technical_quality_fn/std': 0.4738378882408142, 'reward': 3.118680000305176, 'reward_std': 0.46634358167648315, 'frac_reward_zero_std': 0.1, 'entropy': 0.4711373895406723, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 22.451892479951493, 'epoch': 0.01}
{'loss': -0.0272, 'grad_norm': 1.59375, 'learning_rate': 1.662857142857143e-05, 'num_tokens': 267101.0, 'completions/mean_length': 49.025, 'completions/min_length': 40.4, 'completions/max_length': 58.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 49.025, 'completions/min_terminated_length': 40.4, 'completions/max_terminated_length': 58.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.0514861673116684, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.4354402616620064, 'rewards/reward_technical_quality_fn/mean': 1.925, 'rewards/reward_technical_quality_fn/std': 0.10350984334945679, 'reward': 2.9764861106872558, 'reward_std': 0.5027732267975807, 'frac_reward_zero_std': 0.3, 'entropy': 0.3045547729358077, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 22.06969255998265, 'epoch': 0.06}
{'loss': -0.0177, 'grad_norm': 1.015625, 'learning_rate': 1.6342857142857146e-05, 'num_tokens': 289127.0, 'completions/mean_length': 45.95, 'completions/min_length': 39.0, 'completions/max_length': 56.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 45.95, 'completions/min_terminated_length': 39.0, 'completions/max_terminated_length': 56.2, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.09436720162630081, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.3709675192832947, 'rewards/reward_technical_quality_fn/mean': 1.95, 'rewards/reward_technical_quality_fn/std': 0.1414213538169861, 'reward': 3.0443671703338624, 'reward_std': 0.3283922463655472, 'frac_reward_zero_std': 0.2, 'entropy': 0.26172530446201564, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 21.356808740017005, 'epoch': 0.07}
{'loss': -0.0272, 'grad_norm': 0.81640625, 'learning_rate': 1.605714285714286e-05, 'num_tokens': 310812.0, 'completions/mean_length': 46.625, 'completions/min_length': 38.2, 'completions/max_length': 55.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 46.625, 'completions/min_terminated_length': 38.2, 'completions/max_terminated_length': 55.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.17583912312984468, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.3693108201026917, 'rewards/reward_technical_quality_fn/mean': 1.875, 'rewards/reward_technical_quality_fn/std': 0.30471404194831847, 'reward': 3.0508390426635743, 'reward_std': 0.3992125064134598, 'frac_reward_zero_std': 0.2, 'entropy': 0.3412030704319477, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 21.184324459987693, 'epoch': 0.07}
{'loss': -0.0007, 'grad_norm': 1.2265625, 'learning_rate': 1.577142857142857e-05, 'num_tokens': 332794.0, 'completions/mean_length': 47.85, 'completions/min_length': 41.4, 'completions/max_length': 57.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 47.85, 'completions/min_terminated_length': 41.4, 'completions/max_terminated_length': 57.2, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.15129282847046852, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.41126888692379, 'rewards/reward_technical_quality_fn/mean': 1.825, 'rewards/reward_technical_quality_fn/std': 0.4949747323989868, 'reward': 2.976292848587036, 'reward_std': 0.8401433229446411, 'frac_reward_zero_std': 0.3, 'entropy': 0.30299770273268223, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 21.482125839975197, 'epoch': 0.08}
{'loss': -0.0113, 'grad_norm': 0.90234375, 'learning_rate': 1.5485714285714287e-05, 'num_tokens': 355047.0, 'completions/mean_length': 51.125, 'completions/min_length': 40.6, 'completions/max_length': 63.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 51.125, 'completions/min_terminated_length': 40.6, 'completions/max_terminated_length': 63.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.234914630651474, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.4043124794960022, 'rewards/reward_technical_quality_fn/mean': 1.975, 'rewards/reward_technical_quality_fn/std': 0.07071067690849304, 'reward': 3.2099146366119387, 'reward_std': 0.4145121395587921, 'frac_reward_zero_std': 0.2, 'entropy': 0.3996370926499367, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 22.800433900009374, 'epoch': 0.08}
{'loss': -0.0267, 'grad_norm': 1.03125, 'learning_rate': 1.5200000000000002e-05, 'num_tokens': 377649.0, 'completions/mean_length': 51.55, 'completions/min_length': 41.6, 'completions/max_length': 65.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 51.55, 'completions/min_terminated_length': 41.6, 'completions/max_terminated_length': 65.2, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.16748169362545012, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.31769426465034484, 'rewards/reward_technical_quality_fn/mean': 2.0, 'rewards/reward_technical_quality_fn/std': 0.0, 'reward': 3.167481708526611, 'reward_std': 0.3176942080259323, 'frac_reward_zero_std': 0.3, 'entropy': 0.39687016122043134, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 23.566994140017776, 'epoch': 0.09}
{'loss': -0.0479, 'grad_norm': 1.046875, 'learning_rate': 1.4914285714285715e-05, 'num_tokens': 400152.0, 'completions/mean_length': 54.175, 'completions/min_length': 44.8, 'completions/max_length': 65.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 54.175, 'completions/min_terminated_length': 44.8, 'completions/max_terminated_length': 65.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.3596164733171463, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.2796540603041649, 'rewards/reward_technical_quality_fn/mean': 1.875, 'rewards/reward_technical_quality_fn/std': 0.30471404194831847, 'reward': 3.23461651802063, 'reward_std': 0.4467173874378204, 'frac_reward_zero_std': 0.1, 'entropy': 0.40916319787502287, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 23.07103453996824, 'epoch': 0.09}
{'loss': 0.0086, 'grad_norm': 1.015625, 'learning_rate': 1.462857142857143e-05, 'num_tokens': 422821.0, 'completions/mean_length': 53.925, 'completions/min_length': 43.8, 'completions/max_length': 65.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 53.925, 'completions/min_terminated_length': 43.8, 'completions/max_terminated_length': 65.2, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.36650716364383695, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.4228527843952179, 'rewards/reward_technical_quality_fn/mean': 1.9, 'rewards/reward_technical_quality_fn/std': 0.1851640224456787, 'reward': 3.26650710105896, 'reward_std': 0.558468422293663, 'frac_reward_zero_std': 0.1, 'entropy': 0.40225106216967105, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 23.51321446005022, 'epoch': 0.1}
{'loss': -0.0293, 'grad_norm': 0.9453125, 'learning_rate': 1.4342857142857145e-05, 'num_tokens': 444990.0, 'completions/mean_length': 52.325, 'completions/min_length': 40.4, 'completions/max_length': 70.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 52.325, 'completions/min_terminated_length': 40.4, 'completions/max_terminated_length': 70.2, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.1642953272908926, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.4132861256599426, 'rewards/reward_technical_quality_fn/mean': 2.0, 'rewards/reward_technical_quality_fn/std': 0.0, 'reward': 3.1642952442169188, 'reward_std': 0.41328610181808473, 'frac_reward_zero_std': 0.0, 'entropy': 0.3919836267828941, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 23.93338343995856, 'epoch': 0.1}
{'loss': -0.0433, 'grad_norm': 1.0390625, 'learning_rate': 1.4057142857142858e-05, 'num_tokens': 468303.0, 'completions/mean_length': 56.725, 'completions/min_length': 44.8, 'completions/max_length': 72.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 56.725, 'completions/min_terminated_length': 44.8, 'completions/max_terminated_length': 72.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.33341734260320666, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.4110269844532013, 'rewards/reward_technical_quality_fn/mean': 2.0, 'rewards/reward_technical_quality_fn/std': 0.0, 'reward': 3.333417367935181, 'reward_std': 0.4110269546508789, 'frac_reward_zero_std': 0.2, 'entropy': 0.46350259333848953, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 25.079033460014035, 'epoch': 0.11}
{'loss': -0.034, 'grad_norm': 0.97265625, 'learning_rate': 1.3771428571428574e-05, 'num_tokens': 490829.0, 'completions/mean_length': 56.85, 'completions/min_length': 44.4, 'completions/max_length': 72.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 56.85, 'completions/min_terminated_length': 44.4, 'completions/max_terminated_length': 72.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.43686112463474275, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.5853455394506455, 'rewards/reward_technical_quality_fn/mean': 1.925, 'rewards/reward_technical_quality_fn/std': 0.21213203072547912, 'reward': 3.3618611335754394, 'reward_std': 0.6747501194477081, 'frac_reward_zero_std': 0.0, 'entropy': 0.5054531898349524, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 24.536296159925406, 'epoch': 0.11}
{'loss': -0.0496, 'grad_norm': 1.0078125, 'learning_rate': 1.3485714285714286e-05, 'num_tokens': 515749.0, 'completions/mean_length': 60.7, 'completions/min_length': 47.0, 'completions/max_length': 80.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 60.7, 'completions/min_terminated_length': 47.0, 'completions/max_terminated_length': 80.2, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.43185259103775026, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.35932389795780184, 'rewards/reward_technical_quality_fn/mean': 2.0, 'rewards/reward_technical_quality_fn/std': 0.0, 'reward': 3.4318525791168213, 'reward_std': 0.35932390093803407, 'frac_reward_zero_std': 0.1, 'entropy': 0.451817623898387, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 28.97255682001123, 'epoch': 0.12}
{'loss': -0.0425, 'grad_norm': 1.40625, 'learning_rate': 1.3200000000000002e-05, 'num_tokens': 537963.0, 'completions/mean_length': 57.55, 'completions/min_length': 45.8, 'completions/max_length': 74.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 57.55, 'completions/min_terminated_length': 45.8, 'completions/max_terminated_length': 74.2, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.4995977818965912, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.4480494916439056, 'rewards/reward_technical_quality_fn/mean': 1.95, 'rewards/reward_technical_quality_fn/std': 0.09258201122283935, 'reward': 3.4495977401733398, 'reward_std': 0.5117138504981995, 'frac_reward_zero_std': 0.0, 'entropy': 0.5059547394514083, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 24.868947880005, 'epoch': 0.12}
