
==================================================
🚀 AVVIO GRPO V2 (Senza Early Stopping, 2 Epoche)
==================================================
{'loss': -0.0402, 'grad_norm': 0.91796875, 'learning_rate': 9.9e-07, 'num_tokens': 10293.0, 'completions/mean_length': 84.725, 'completions/min_length': 53.8, 'completions/max_length': 115.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 84.725, 'completions/min_terminated_length': 53.8, 'completions/max_terminated_length': 115.4, 'rewards/lazy_penalty_reward/mean': -0.5, 'rewards/lazy_penalty_reward/std': 1.4142136573791504, 'rewards/strict_format_and_content_reward/mean': 1.4, 'rewards/strict_format_and_content_reward/std': 1.2898300409317016, 'rewards/semantic_consistency_reward/mean': -0.020000000298023225, 'rewards/semantic_consistency_reward/std': 0.08141604661941529, 'rewards/conditional_perplexity_reward/mean': 0.12691810131072997, 'rewards/conditional_perplexity_reward/std': 0.03351182602345944, 'reward': 1.0069180727005005, 'reward_std': 2.4930596590042113, 'frac_reward_zero_std': 0.0, 'entropy': 1.5017568737268447, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 40.26380831992719, 'epoch': 0.03}
{'eval_loss': -0.011243604123592377, 'eval_runtime': 1002.0538, 'eval_samples_per_second': 0.05, 'eval_steps_per_second': 0.007, 'eval_num_tokens': 104038.0, 'eval_completions/mean_length': 90.895, 'eval_completions/min_length': 55.16, 'eval_completions/max_length': 141.08, 'eval_completions/clipped_ratio': 0.025, 'eval_completions/mean_terminated_length': 88.38071472167968, 'eval_completions/min_terminated_length': 55.16, 'eval_completions/max_terminated_length': 131.16, 'eval_rewards/lazy_penalty_reward/mean': -0.275, 'eval_rewards/lazy_penalty_reward/std': 0.7778175115585327, 'eval_rewards/strict_format_and_content_reward/mean': 1.565, 'eval_rewards/strict_format_and_content_reward/std': 0.9411663818359375, 'eval_rewards/semantic_consistency_reward/mean': 0.06999999701976777, 'eval_rewards/semantic_consistency_reward/std': 0.1994104814529419, 'eval_rewards/conditional_perplexity_reward/mean': 0.12885570377111435, 'eval_rewards/conditional_perplexity_reward/std': 0.04231740303337574, 'eval_reward': 1.4888556814193725, 'eval_reward_std': 1.8111270169168712, 'eval_frac_reward_zero_std': 0.0, 'eval_entropy': 1.5536627054214478, 'eval_clip_ratio/low_mean': 0.0, 'eval_clip_ratio/low_min': 0.0, 'eval_clip_ratio/high_mean': 0.0, 'eval_clip_ratio/high_max': 0.0, 'eval_clip_ratio/region_mean': 0.0, 'epoch': 0.25}
{'loss': -0.0882, 'grad_norm': 0.66796875, 'learning_rate': 8.65e-07, 'num_tokens': 114421.0, 'completions/mean_length': 90.375, 'completions/min_length': 58.8, 'completions/max_length': 128.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 90.375, 'completions/min_terminated_length': 58.8, 'completions/max_terminated_length': 128.2, 'rewards/lazy_penalty_reward/mean': -0.375, 'rewards/lazy_penalty_reward/std': 1.0606602430343628, 'rewards/strict_format_and_content_reward/mean': 1.7, 'rewards/strict_format_and_content_reward/std': 0.8485280990600585, 'rewards/semantic_consistency_reward/mean': 0.019999998807907104, 'rewards/semantic_consistency_reward/std': 0.1100649118423462, 'rewards/conditional_perplexity_reward/mean': 0.13069366216659545, 'rewards/conditional_perplexity_reward/std': 0.05996369794011116, 'reward': 1.475693655014038, 'reward_std': 1.9180845126509667, 'frac_reward_zero_std': 0.0, 'entropy': 1.4921928614377975, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 44.56682280004024, 'epoch': 0.28}
{'loss': -0.0185, 'grad_norm': 0.765625, 'learning_rate': 8.525e-07, 'num_tokens': 125029.0, 'completions/mean_length': 99.1, 'completions/min_length': 60.0, 'completions/max_length': 158.6, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 96.57857208251953, 'completions/min_terminated_length': 60.0, 'completions/max_terminated_length': 154.0, 'rewards/lazy_penalty_reward/mean': -0.125, 'rewards/lazy_penalty_reward/std': 0.3535534143447876, 'rewards/strict_format_and_content_reward/mean': 1.475, 'rewards/strict_format_and_content_reward/std': 1.1484243631362916, 'rewards/semantic_consistency_reward/mean': 0.09499999433755875, 'rewards/semantic_consistency_reward/std': 0.18699237704277039, 'rewards/conditional_perplexity_reward/mean': 0.11843469589948655, 'rewards/conditional_perplexity_reward/std': 0.035551798343658444, 'reward': 1.563434624671936, 'reward_std': 1.6342743825167418, 'frac_reward_zero_std': 0.0, 'entropy': 1.6158271431922913, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 52.583520800038244, 'epoch': 0.3}
{'loss': -0.0619, 'grad_norm': 0.6875, 'learning_rate': 8.399999999999999e-07, 'num_tokens': 136118.0, 'completions/mean_length': 98.525, 'completions/min_length': 57.0, 'completions/max_length': 165.2, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 95.67142944335937, 'completions/min_terminated_length': 57.0, 'completions/max_terminated_length': 151.4, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.46291003227233884, 'rewards/strict_format_and_content_reward/mean': 1.5, 'rewards/strict_format_and_content_reward/std': 0.966745138168335, 'rewards/semantic_consistency_reward/mean': 0.034999999403953555, 'rewards/semantic_consistency_reward/std': 0.387619686126709, 'rewards/conditional_perplexity_reward/mean': 0.12891284823417665, 'rewards/conditional_perplexity_reward/std': 0.045690485090017316, 'reward': 1.413912844657898, 'reward_std': 1.6826704919338227, 'frac_reward_zero_std': 0.0, 'entropy': 1.5868599325418473, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 58.50642691999674, 'epoch': 0.33}
{'loss': -0.0492, 'grad_norm': 0.7109375, 'learning_rate': 8.275e-07, 'num_tokens': 147375.0, 'completions/mean_length': 110.525, 'completions/min_length': 69.6, 'completions/max_length': 173.4, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 108.00714416503907, 'completions/min_terminated_length': 69.6, 'completions/max_terminated_length': 166.0, 'rewards/lazy_penalty_reward/mean': -0.5, 'rewards/lazy_penalty_reward/std': 1.1700168609619142, 'rewards/strict_format_and_content_reward/mean': 1.25, 'rewards/strict_format_and_content_reward/std': 1.6383024215698243, 'rewards/semantic_consistency_reward/mean': 0.1299999997019768, 'rewards/semantic_consistency_reward/std': 0.3009002447128296, 'rewards/conditional_perplexity_reward/mean': 0.14324881881475449, 'rewards/conditional_perplexity_reward/std': 0.048314474150538446, 'reward': 1.023248827457428, 'reward_std': 2.9795831739902496, 'frac_reward_zero_std': 0.0, 'entropy': 1.6659312799572945, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 55.993438159907235, 'epoch': 0.35}
{'loss': -0.0972, 'grad_norm': 0.828125, 'learning_rate': 8.149999999999999e-07, 'num_tokens': 157847.0, 'completions/mean_length': 91.1, 'completions/min_length': 54.6, 'completions/max_length': 139.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 91.1, 'completions/min_terminated_length': 54.6, 'completions/max_terminated_length': 139.0, 'rewards/lazy_penalty_reward/mean': 0.0, 'rewards/lazy_penalty_reward/std': 0.0, 'rewards/strict_format_and_content_reward/mean': 1.875, 'rewards/strict_format_and_content_reward/std': 0.35355337858200075, 'rewards/semantic_consistency_reward/mean': 0.07499999552965164, 'rewards/semantic_consistency_reward/std': 0.2184758722782135, 'rewards/conditional_perplexity_reward/mean': 0.12013801038265229, 'rewards/conditional_perplexity_reward/std': 0.037130674719810484, 'reward': 2.0701380491256716, 'reward_std': 0.5760358273983002, 'frac_reward_zero_std': 0.0, 'entropy': 1.4802341014146805, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 49.49509624000639, 'epoch': 0.38}
{'eval_loss': -0.06705357134342194, 'eval_runtime': 1042.0456, 'eval_samples_per_second': 0.048, 'eval_steps_per_second': 0.007, 'eval_num_tokens': 157847.0, 'eval_completions/mean_length': 92.535, 'eval_completions/min_length': 57.08, 'eval_completions/max_length': 145.48, 'eval_completions/clipped_ratio': 0.02, 'eval_completions/mean_terminated_length': 90.3564291381836, 'eval_completions/min_terminated_length': 57.08, 'eval_completions/max_terminated_length': 133.48, 'eval_rewards/lazy_penalty_reward/mean': -0.1, 'eval_rewards/lazy_penalty_reward/std': 0.28284273147583006, 'eval_rewards/strict_format_and_content_reward/mean': 1.6, 'eval_rewards/strict_format_and_content_reward/std': 0.932571816444397, 'eval_rewards/semantic_consistency_reward/mean': 0.10299999743700028, 'eval_rewards/semantic_consistency_reward/std': 0.20817521214485168, 'eval_rewards/conditional_perplexity_reward/mean': 0.12855256259441375, 'eval_rewards/conditional_perplexity_reward/std': 0.04010271340608597, 'eval_reward': 1.7315525674819947, 'eval_reward_std': 1.3650751625001432, 'eval_frac_reward_zero_std': 0.0, 'eval_entropy': 1.5740584135055542, 'eval_clip_ratio/low_mean': 0.0, 'eval_clip_ratio/low_min': 0.0, 'eval_clip_ratio/high_mean': 0.0, 'eval_clip_ratio/high_max': 0.0, 'eval_clip_ratio/region_mean': 0.0, 'epoch': 0.38}
{'loss': 0.0203, 'grad_norm': 0.73046875, 'learning_rate': 8.024999999999999e-07, 'num_tokens': 168547.0, 'completions/mean_length': 95.8, 'completions/min_length': 68.0, 'completions/max_length': 139.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 95.8, 'completions/min_terminated_length': 68.0, 'completions/max_terminated_length': 139.6, 'rewards/lazy_penalty_reward/mean': -0.5, 'rewards/lazy_penalty_reward/std': 1.4142136573791504, 'rewards/strict_format_and_content_reward/mean': 1.5, 'rewards/strict_format_and_content_reward/std': 1.2676954865455627, 'rewards/semantic_consistency_reward/mean': 0.1499999940395355, 'rewards/semantic_consistency_reward/std': 0.3030871391296387, 'rewards/conditional_perplexity_reward/mean': 0.13590731769800185, 'rewards/conditional_perplexity_reward/std': 0.04704718962311745, 'reward': 1.285907256603241, 'reward_std': 2.6459994316101074, 'frac_reward_zero_std': 0.0, 'entropy': 1.5263007879257202, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 48.25330178006552, 'epoch': 0.4}
{'loss': -0.0749, 'grad_norm': 0.6875, 'learning_rate': 7.9e-07, 'num_tokens': 178889.0, 'completions/mean_length': 89.25, 'completions/min_length': 56.0, 'completions/max_length': 128.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 89.25, 'completions/min_terminated_length': 56.0, 'completions/max_terminated_length': 128.4, 'rewards/lazy_penalty_reward/mean': -0.125, 'rewards/lazy_penalty_reward/std': 0.3535534143447876, 'rewards/strict_format_and_content_reward/mean': 1.575, 'rewards/strict_format_and_content_reward/std': 1.2020814776420594, 'rewards/semantic_consistency_reward/mean': 0.07499999701976776, 'rewards/semantic_consistency_reward/std': 0.23592528104782104, 'rewards/conditional_perplexity_reward/mean': 0.1107694923877716, 'rewards/conditional_perplexity_reward/std': 0.04350140877068043, 'reward': 1.635769546031952, 'reward_std': 1.6422616228461266, 'frac_reward_zero_std': 0.0, 'entropy': 1.6628023952245712, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 46.66360381999984, 'epoch': 0.42}
{'loss': 0.024, 'grad_norm': 0.69140625, 'learning_rate': 7.775e-07, 'num_tokens': 188893.0, 'completions/mean_length': 85.3, 'completions/min_length': 52.6, 'completions/max_length': 143.0, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 82.16785736083985, 'completions/min_terminated_length': 52.6, 'completions/max_terminated_length': 124.2, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.4, 'rewards/strict_format_and_content_reward/std': 1.3170926094055175, 'rewards/semantic_consistency_reward/mean': 0.19499998539686203, 'rewards/semantic_consistency_reward/std': 0.2963858485221863, 'rewards/conditional_perplexity_reward/mean': 0.12426154911518097, 'rewards/conditional_perplexity_reward/std': 0.03885442689061165, 'reward': 1.4692615509033202, 'reward_std': 2.2015686988830567, 'frac_reward_zero_std': 0.0, 'entropy': 1.5272378757596017, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 50.44670506005641, 'epoch': 0.45}
{'loss': -0.1119, 'grad_norm': 0.71484375, 'learning_rate': 7.65e-07, 'num_tokens': 199564.0, 'completions/mean_length': 97.275, 'completions/min_length': 56.8, 'completions/max_length': 158.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 97.275, 'completions/min_terminated_length': 56.8, 'completions/max_terminated_length': 158.8, 'rewards/lazy_penalty_reward/mean': -0.125, 'rewards/lazy_penalty_reward/std': 0.3535534143447876, 'rewards/strict_format_and_content_reward/mean': 1.575, 'rewards/strict_format_and_content_reward/std': 1.0860750913619994, 'rewards/semantic_consistency_reward/mean': 0.05, 'rewards/semantic_consistency_reward/std': 0.17994335293769836, 'rewards/conditional_perplexity_reward/mean': 0.13595827370882035, 'rewards/conditional_perplexity_reward/std': 0.05388966500759125, 'reward': 1.6359582901000977, 'reward_std': 1.5923706412315368, 'frac_reward_zero_std': 0.0, 'entropy': 1.5044759407639503, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 54.349079479952344, 'epoch': 0.47}
