INFO:accelerate.utils.modeling:We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
{'loss': 2.6377, 'grad_norm': 1.803217887878418, 'learning_rate': 0.0001991913746630728, 'epoch': 0.013481631277384564}
{'loss': 0.3817, 'grad_norm': 0.6331521272659302, 'learning_rate': 0.00018481581311769992, 'epoch': 0.22918773171553758}
{'loss': 0.4094, 'grad_norm': 0.4670841097831726, 'learning_rate': 0.00018391734052111412, 'epoch': 0.24266936299292213}
{'loss': 0.3849, 'grad_norm': 0.468289852142334, 'learning_rate': 0.00018301886792452832, 'epoch': 0.2561509942703067}
{'loss': 0.3695, 'grad_norm': 0.5324938297271729, 'learning_rate': 0.00018212039532794253, 'epoch': 0.2696326255476913}
{'loss': 0.4026, 'grad_norm': 0.5207918882369995, 'learning_rate': 0.0001812219227313567, 'epoch': 0.28311425682507585}
{'loss': 0.3574, 'grad_norm': 0.48369595408439636, 'learning_rate': 0.0001803234501347709, 'epoch': 0.2965958881024604}
{'loss': 0.3658, 'grad_norm': 0.5993903875350952, 'learning_rate': 0.0001794249775381851, 'epoch': 0.31007751937984496}
{'loss': 0.331, 'grad_norm': 0.5254990458488464, 'learning_rate': 0.00017852650494159928, 'epoch': 0.3235591506572295}
{'loss': 0.4021, 'grad_norm': 0.5698222517967224, 'learning_rate': 0.00017762803234501348, 'epoch': 0.33704078193461406}
{'loss': 0.3672, 'grad_norm': 0.49084773659706116, 'learning_rate': 0.00017672955974842768, 'epoch': 0.3505224132119987}
{'loss': 0.3635, 'grad_norm': 0.505724310874939, 'learning_rate': 0.00017583108715184186, 'epoch': 0.3640040444893832}
{'loss': 0.3793, 'grad_norm': 0.4430401623249054, 'learning_rate': 0.00017493261455525606, 'epoch': 0.3774856757667678}
{'loss': 0.3794, 'grad_norm': 0.6893408298492432, 'learning_rate': 0.00017403414195867026, 'epoch': 0.39096730704415233}
{'loss': 0.3614, 'grad_norm': 0.5377840399742126, 'learning_rate': 0.00017313566936208447, 'epoch': 0.4044489383215369}
{'loss': 0.3568, 'grad_norm': 0.49283134937286377, 'learning_rate': 0.00017223719676549864, 'epoch': 0.41793056959892144}
{'loss': 0.3351, 'grad_norm': 0.4309905767440796, 'learning_rate': 0.00017133872416891287, 'epoch': 0.43141220087630605}
{'loss': 0.3507, 'grad_norm': 0.7288563251495361, 'learning_rate': 0.00017044025157232707, 'epoch': 0.4448938321536906}
{'loss': 0.3547, 'grad_norm': 0.5299067497253418, 'learning_rate': 0.00016954177897574125, 'epoch': 0.45837546343107516}
{'loss': 0.3435, 'grad_norm': 0.4401264786720276, 'learning_rate': 0.00016864330637915545, 'epoch': 0.4718570947084597}
{'loss': 0.3535, 'grad_norm': 0.4336985945701599, 'learning_rate': 0.00016774483378256965, 'epoch': 0.48533872598584427}
{'loss': 0.3658, 'grad_norm': 0.48158523440361023, 'learning_rate': 0.00016684636118598385, 'epoch': 0.4988203572632289}
{'loss': 0.32, 'grad_norm': 0.45930904150009155, 'learning_rate': 0.00016594788858939803, 'epoch': 0.5123019885406134}
{'loss': 0.3544, 'grad_norm': 0.5824774503707886, 'learning_rate': 0.00016504941599281223, 'epoch': 0.5257836198179979}
{'loss': 0.3414, 'grad_norm': 0.5157257318496704, 'learning_rate': 0.00016415094339622643, 'epoch': 0.5392652510953826}
{'loss': 0.3722, 'grad_norm': 0.6365436911582947, 'learning_rate': 0.0001632524707996406, 'epoch': 0.5527468823727671}
{'loss': 0.3303, 'grad_norm': 0.48658686876296997, 'learning_rate': 0.0001623539982030548, 'epoch': 0.5662285136501517}
{'loss': 0.3377, 'grad_norm': 0.6731014847755432, 'learning_rate': 0.000161455525606469, 'epoch': 0.5797101449275363}
{'loss': 0.3633, 'grad_norm': 0.5413076281547546, 'learning_rate': 0.0001605570530098832, 'epoch': 0.5931917762049208}
{'loss': 0.3125, 'grad_norm': 0.47382640838623047, 'learning_rate': 0.0001596585804132974, 'epoch': 0.6066734074823054}
{'loss': 0.3214, 'grad_norm': 0.42398592829704285, 'learning_rate': 0.0001587601078167116, 'epoch': 0.6201550387596899}
{'loss': 0.3318, 'grad_norm': 0.39712396264076233, 'learning_rate': 0.0001578616352201258, 'epoch': 0.6336366700370745}
{'loss': 0.3295, 'grad_norm': 0.5472589135169983, 'learning_rate': 0.00015696316262354, 'epoch': 0.647118301314459}
{'loss': 0.3725, 'grad_norm': 0.4654364287853241, 'learning_rate': 0.0001560646900269542, 'epoch': 0.6605999325918436}
{'loss': 0.3311, 'grad_norm': 0.4783768653869629, 'learning_rate': 0.0001551662174303684, 'epoch': 0.6740815638692281}
{'loss': 0.3357, 'grad_norm': 0.45027801394462585, 'learning_rate': 0.00015426774483378257, 'epoch': 0.6875631951466128}
{'loss': 0.3262, 'grad_norm': 0.4705725610256195, 'learning_rate': 0.00015336927223719678, 'epoch': 0.7010448264239973}
{'loss': 0.3799, 'grad_norm': 0.607936441898346, 'learning_rate': 0.00015247079964061098, 'epoch': 0.7145264577013819}
{'loss': 0.3424, 'grad_norm': 0.43763697147369385, 'learning_rate': 0.00015157232704402518, 'epoch': 0.7280080889787665}
{'loss': 0.3435, 'grad_norm': 0.4939960241317749, 'learning_rate': 0.00015067385444743936, 'epoch': 0.741489720256151}
{'loss': 0.3339, 'grad_norm': 0.4088496267795563, 'learning_rate': 0.00014977538185085356, 'epoch': 0.7549713515335356}
{'loss': 0.3627, 'grad_norm': 0.5684893727302551, 'learning_rate': 0.00014887690925426776, 'epoch': 0.7684529828109201}
{'loss': 0.334, 'grad_norm': 0.5678762197494507, 'learning_rate': 0.00014797843665768193, 'epoch': 0.7819346140883047}
{'loss': 0.3438, 'grad_norm': 0.4654782712459564, 'learning_rate': 0.00014707996406109614, 'epoch': 0.7954162453656892}
{'loss': 0.3298, 'grad_norm': 0.5125236511230469, 'learning_rate': 0.00014618149146451034, 'epoch': 0.8088978766430738}
{'loss': 0.37, 'grad_norm': 0.4373318552970886, 'learning_rate': 0.00014528301886792451, 'epoch': 0.8223795079204583}
{'loss': 0.3404, 'grad_norm': 0.4343915581703186, 'learning_rate': 0.00014438454627133872, 'epoch': 0.8358611391978429}
{'loss': 0.3224, 'grad_norm': 0.41114112734794617, 'learning_rate': 0.00014348607367475292, 'epoch': 0.8493427704752275}
{'loss': 0.3522, 'grad_norm': 0.522861897945404, 'learning_rate': 0.00014258760107816712, 'epoch': 0.8628244017526121}
{'loss': 0.3414, 'grad_norm': 0.45416390895843506, 'learning_rate': 0.00014168912848158132, 'epoch': 0.8763060330299967}
{'loss': 0.3363, 'grad_norm': 0.4261481761932373, 'learning_rate': 0.00014079065588499552, 'epoch': 0.8897876643073812}
{'loss': 0.3476, 'grad_norm': 0.5714004039764404, 'learning_rate': 0.00013989218328840973, 'epoch': 0.9032692955847658}
{'loss': 0.2945, 'grad_norm': 0.407722532749176, 'learning_rate': 0.0001389937106918239, 'epoch': 0.9167509268621503}
{'loss': 0.3249, 'grad_norm': 0.5006161332130432, 'learning_rate': 0.0001380952380952381, 'epoch': 0.9302325581395349}
{'loss': 0.3123, 'grad_norm': 0.4346846640110016, 'learning_rate': 0.0001371967654986523, 'epoch': 0.9437141894169194}
{'loss': 0.3062, 'grad_norm': 0.45888426899909973, 'learning_rate': 0.0001362982929020665, 'epoch': 0.957195820694304}
{'loss': 0.34, 'grad_norm': 0.472810298204422, 'learning_rate': 0.00013539982030548068, 'epoch': 0.9706774519716885}
{'loss': 0.3117, 'grad_norm': 0.5156091451644897, 'learning_rate': 0.00013450134770889489, 'epoch': 0.9841590832490731}
{'loss': 0.3241, 'grad_norm': 0.5005319714546204, 'learning_rate': 0.0001336028751123091, 'epoch': 0.9976407145264578}
{'loss': 0.2973, 'grad_norm': 0.45666220784187317, 'learning_rate': 0.00013270440251572326, 'epoch': 1.0107853050219076}
{'loss': 0.329, 'grad_norm': 0.4130636155605316, 'learning_rate': 0.00013180592991913746, 'epoch': 1.0242669362992922}
{'loss': 0.3183, 'grad_norm': 0.45324185490608215, 'learning_rate': 0.00013090745732255167, 'epoch': 1.0377485675766769}
{'loss': 0.3043, 'grad_norm': 0.5726141333580017, 'learning_rate': 0.00013000898472596584, 'epoch': 1.0512301988540613}
{'loss': 0.2715, 'grad_norm': 0.6052423119544983, 'learning_rate': 0.00012911051212938004, 'epoch': 1.064711830131446}
{'loss': 0.3284, 'grad_norm': 0.5226427316665649, 'learning_rate': 0.00012821203953279425, 'epoch': 1.0781934614088304}
{'loss': 0.3315, 'grad_norm': 0.5354024171829224, 'learning_rate': 0.00012731356693620847, 'epoch': 1.091675092686215}
{'loss': 0.2939, 'grad_norm': 0.5488224625587463, 'learning_rate': 0.00012641509433962265, 'epoch': 1.1051567239635995}
{'loss': 0.3173, 'grad_norm': 0.5110191106796265, 'learning_rate': 0.00012551662174303685, 'epoch': 1.1186383552409842}
{'loss': 0.3236, 'grad_norm': 0.4734930992126465, 'learning_rate': 0.00012461814914645105, 'epoch': 1.1321199865183686}
{'loss': 0.2985, 'grad_norm': 0.47421106696128845, 'learning_rate': 0.00012371967654986523, 'epoch': 1.1456016177957533}
{'loss': 0.3015, 'grad_norm': 0.5254827737808228, 'learning_rate': 0.00012282120395327943, 'epoch': 1.1590832490731378}
{'loss': 0.2919, 'grad_norm': 0.5155051946640015, 'learning_rate': 0.00012192273135669363, 'epoch': 1.1725648803505224}
{'loss': 0.3369, 'grad_norm': 0.5717191696166992, 'learning_rate': 0.00012102425876010781, 'epoch': 1.1860465116279069}
{'loss': 0.2954, 'grad_norm': 0.4802511930465698, 'learning_rate': 0.00012012578616352201, 'epoch': 1.1995281429052915}
{'loss': 0.2813, 'grad_norm': 0.5251664519309998, 'learning_rate': 0.00011922731356693621, 'epoch': 1.2130097741826762}
{'loss': 0.3234, 'grad_norm': 0.5650445222854614, 'learning_rate': 0.00011832884097035041, 'epoch': 1.2264914054600606}
{'loss': 0.3013, 'grad_norm': 0.5758490562438965, 'learning_rate': 0.0001174303683737646, 'epoch': 1.2399730367374453}
{'loss': 0.3333, 'grad_norm': 0.5234382748603821, 'learning_rate': 0.0001165318957771788, 'epoch': 1.2534546680148297}
{'loss': 0.3111, 'grad_norm': 0.4851383864879608, 'learning_rate': 0.00011563342318059301, 'epoch': 1.2669362992922144}
{'loss': 0.3099, 'grad_norm': 0.387154221534729, 'learning_rate': 0.00011473495058400718, 'epoch': 1.2804179305695988}
{'loss': 0.2885, 'grad_norm': 0.5018885731697083, 'learning_rate': 0.00011383647798742138, 'epoch': 1.2938995618469835}
{'loss': 0.2744, 'grad_norm': 0.48584091663360596, 'learning_rate': 0.00011293800539083559, 'epoch': 1.307381193124368}
{'loss': 0.2937, 'grad_norm': 0.48064860701560974, 'learning_rate': 0.00011203953279424979, 'epoch': 1.3208628244017526}
{'loss': 0.299, 'grad_norm': 0.4229717254638672, 'learning_rate': 0.00011114106019766398, 'epoch': 1.3343444556791373}
{'loss': 0.2932, 'grad_norm': 0.4876002371311188, 'learning_rate': 0.00011024258760107818, 'epoch': 1.3478260869565217}
{'loss': 0.2961, 'grad_norm': 0.5499775409698486, 'learning_rate': 0.00010934411500449238, 'epoch': 1.3613077182339062}
{'loss': 0.3225, 'grad_norm': 0.5764548182487488, 'learning_rate': 0.00010844564240790656, 'epoch': 1.3747893495112908}
{'loss': 0.3107, 'grad_norm': 0.56520676612854, 'learning_rate': 0.00010754716981132076, 'epoch': 1.3882709807886755}
{'loss': 0.3066, 'grad_norm': 0.49761492013931274, 'learning_rate': 0.00010664869721473496, 'epoch': 1.40175261206606}
{'loss': 0.3048, 'grad_norm': 0.6476419568061829, 'learning_rate': 0.00010575022461814914, 'epoch': 1.4152342433434446}
{'loss': 0.2816, 'grad_norm': 0.46725332736968994, 'learning_rate': 0.00010485175202156334, 'epoch': 1.428715874620829}
{'loss': 0.3008, 'grad_norm': 0.48262858390808105, 'learning_rate': 0.00010395327942497754, 'epoch': 1.4421975058982137}
{'loss': 0.2934, 'grad_norm': 0.5592169165611267, 'learning_rate': 0.00010305480682839174, 'epoch': 1.4556791371755984}
{'loss': 0.2845, 'grad_norm': 0.5275368094444275, 'learning_rate': 0.00010215633423180593, 'epoch': 1.4691607684529828}
{'loss': 0.3022, 'grad_norm': 0.44317951798439026, 'learning_rate': 0.00010125786163522013, 'epoch': 1.4826423997303673}
{'loss': 0.3168, 'grad_norm': 0.4958774745464325, 'learning_rate': 0.00010035938903863433, 'epoch': 1.496124031007752}
{'loss': 0.2812, 'grad_norm': 0.4381301701068878, 'learning_rate': 9.946091644204852e-05, 'epoch': 1.5096056622851366}
{'loss': 0.2797, 'grad_norm': 0.40757420659065247, 'learning_rate': 9.856244384546271e-05, 'epoch': 1.523087293562521}
{'loss': 0.2848, 'grad_norm': 0.4776671230792999, 'learning_rate': 9.766397124887691e-05, 'epoch': 1.5365689248399055}
{'loss': 0.2553, 'grad_norm': 0.47543367743492126, 'learning_rate': 9.67654986522911e-05, 'epoch': 1.5500505561172901}
{'loss': 0.276, 'grad_norm': 0.44238582253456116, 'learning_rate': 9.58670260557053e-05, 'epoch': 1.5635321873946748}
{'loss': 0.3021, 'grad_norm': 0.6342997550964355, 'learning_rate': 9.496855345911951e-05, 'epoch': 1.5770138186720595}
{'loss': 0.3258, 'grad_norm': 0.46962636709213257, 'learning_rate': 9.40700808625337e-05, 'epoch': 1.590495449949444}
{'loss': 0.3142, 'grad_norm': 0.4290724992752075, 'learning_rate': 9.31716082659479e-05, 'epoch': 1.6039770812268284}
{'loss': 0.2794, 'grad_norm': 0.46983686089515686, 'learning_rate': 9.227313566936209e-05, 'epoch': 1.617458712504213}
{'loss': 0.2924, 'grad_norm': 0.47555240988731384, 'learning_rate': 9.137466307277629e-05, 'epoch': 1.6309403437815977}
{'loss': 0.2896, 'grad_norm': 0.42114850878715515, 'learning_rate': 9.047619047619048e-05, 'epoch': 1.6444219750589821}
{'loss': 0.304, 'grad_norm': 0.5023136734962463, 'learning_rate': 8.957771787960468e-05, 'epoch': 1.6579036063363666}
{'loss': 0.3058, 'grad_norm': 0.49772611260414124, 'learning_rate': 8.867924528301888e-05, 'epoch': 1.6713852376137512}
{'loss': 0.2745, 'grad_norm': 0.4937171936035156, 'learning_rate': 8.778077268643307e-05, 'epoch': 1.684866868891136}
{'loss': 0.288, 'grad_norm': 0.4893241226673126, 'learning_rate': 8.688230008984727e-05, 'epoch': 1.6983485001685203}
{'loss': 0.2786, 'grad_norm': 0.43709686398506165, 'learning_rate': 8.598382749326146e-05, 'epoch': 1.7118301314459048}
{'loss': 0.3057, 'grad_norm': 0.5272024273872375, 'learning_rate': 8.508535489667565e-05, 'epoch': 1.7253117627232895}
{'loss': 0.2962, 'grad_norm': 0.5099160671234131, 'learning_rate': 8.418688230008985e-05, 'epoch': 1.7387933940006741}
{'loss': 0.2826, 'grad_norm': 0.5574988722801208, 'learning_rate': 8.328840970350404e-05, 'epoch': 1.7522750252780588}
{'loss': 0.3186, 'grad_norm': 0.4783797562122345, 'learning_rate': 8.238993710691824e-05, 'epoch': 1.7657566565554432}
{'loss': 0.2748, 'grad_norm': 0.44960302114486694, 'learning_rate': 8.149146451033244e-05, 'epoch': 1.7792382878328277}
{'loss': 0.2903, 'grad_norm': 0.4104446470737457, 'learning_rate': 8.059299191374663e-05, 'epoch': 1.7927199191102123}
{'loss': 0.2854, 'grad_norm': 0.4789546728134155, 'learning_rate': 7.969451931716083e-05, 'epoch': 1.806201550387597}
{'loss': 0.2776, 'grad_norm': 0.5906246900558472, 'learning_rate': 7.879604672057502e-05, 'epoch': 1.8196831816649814}
{'loss': 0.3131, 'grad_norm': 0.5168524980545044, 'learning_rate': 7.789757412398922e-05, 'epoch': 1.8331648129423659}
{'loss': 0.3195, 'grad_norm': 0.5064865946769714, 'learning_rate': 7.699910152740341e-05, 'epoch': 1.8466464442197505}
{'loss': 0.3219, 'grad_norm': 0.4233919084072113, 'learning_rate': 7.610062893081762e-05, 'epoch': 1.8601280754971352}
{'loss': 0.2987, 'grad_norm': 0.4592249095439911, 'learning_rate': 7.52021563342318e-05, 'epoch': 1.8736097067745199}
{'loss': 0.2771, 'grad_norm': 0.4383782744407654, 'learning_rate': 7.4303683737646e-05, 'epoch': 1.8870913380519043}
{'loss': 0.2982, 'grad_norm': 0.544805109500885, 'learning_rate': 7.340521114106021e-05, 'epoch': 1.9005729693292888}
{'loss': 0.2807, 'grad_norm': 0.4862786829471588, 'learning_rate': 7.25067385444744e-05, 'epoch': 1.9140546006066734}
{'loss': 0.3215, 'grad_norm': 0.671267032623291, 'learning_rate': 7.16082659478886e-05, 'epoch': 1.927536231884058}
{'loss': 0.3049, 'grad_norm': 0.49447083473205566, 'learning_rate': 7.070979335130279e-05, 'epoch': 1.9410178631614425}
{'loss': 0.2656, 'grad_norm': 0.5090743899345398, 'learning_rate': 6.981132075471698e-05, 'epoch': 1.954499494438827}
{'loss': 0.2606, 'grad_norm': 0.5657520294189453, 'learning_rate': 6.891284815813118e-05, 'epoch': 1.9679811257162116}
{'loss': 0.2847, 'grad_norm': 0.5135281085968018, 'learning_rate': 6.801437556154538e-05, 'epoch': 1.9814627569935963}
{'loss': 0.3129, 'grad_norm': 0.529308557510376, 'learning_rate': 6.711590296495958e-05, 'epoch': 1.9949443882709808}
{'loss': 0.2779, 'grad_norm': 0.4310888648033142, 'learning_rate': 6.621743036837377e-05, 'epoch': 2.008088978766431}
{'loss': 0.2714, 'grad_norm': 0.5290951728820801, 'learning_rate': 6.531895777178796e-05, 'epoch': 2.021570610043815}
{'loss': 0.2648, 'grad_norm': 0.5882247686386108, 'learning_rate': 6.442048517520216e-05, 'epoch': 2.0350522413211998}
{'loss': 0.2748, 'grad_norm': 0.45881789922714233, 'learning_rate': 6.352201257861635e-05, 'epoch': 2.0485338725985844}
{'loss': 0.2612, 'grad_norm': 0.48848941922187805, 'learning_rate': 6.262353998203055e-05, 'epoch': 2.062015503875969}
{'loss': 0.2664, 'grad_norm': 0.6779239773750305, 'learning_rate': 6.172506738544474e-05, 'epoch': 2.0754971351533538}
{'loss': 0.2702, 'grad_norm': 0.5554899573326111, 'learning_rate': 6.082659478885895e-05, 'epoch': 2.088978766430738}
{'loss': 0.2853, 'grad_norm': 0.48404747247695923, 'learning_rate': 5.992812219227314e-05, 'epoch': 2.1024603977081227}
{'loss': 0.2891, 'grad_norm': 0.4940699338912964, 'learning_rate': 5.9029649595687334e-05, 'epoch': 2.1159420289855073}
{'loss': 0.2772, 'grad_norm': 0.5410635471343994, 'learning_rate': 5.8131176999101536e-05, 'epoch': 2.129423660262892}
{'loss': 0.2516, 'grad_norm': 0.5524827837944031, 'learning_rate': 5.7232704402515724e-05, 'epoch': 2.142905291540276}
{'loss': 0.2421, 'grad_norm': 0.4771535098552704, 'learning_rate': 5.6334231805929926e-05, 'epoch': 2.156386922817661}
{'loss': 0.2656, 'grad_norm': 0.6358756422996521, 'learning_rate': 5.5435759209344115e-05, 'epoch': 2.1698685540950455}
{'loss': 0.2498, 'grad_norm': 0.518922746181488, 'learning_rate': 5.453728661275831e-05, 'epoch': 2.18335018537243}
{'loss': 0.2965, 'grad_norm': 0.5362395644187927, 'learning_rate': 5.363881401617251e-05, 'epoch': 2.196831816649815}
{'loss': 0.2711, 'grad_norm': 0.46654677391052246, 'learning_rate': 5.27403414195867e-05, 'epoch': 2.210313447927199}
{'loss': 0.3117, 'grad_norm': 0.5869156122207642, 'learning_rate': 5.18418688230009e-05, 'epoch': 2.2237950792045837}
{'loss': 0.2695, 'grad_norm': 0.5024634003639221, 'learning_rate': 5.09433962264151e-05, 'epoch': 2.2372767104819684}
{'loss': 0.2532, 'grad_norm': 0.44246384501457214, 'learning_rate': 5.004492362982929e-05, 'epoch': 2.2507583417593526}
{'loss': 0.2601, 'grad_norm': 0.4958190321922302, 'learning_rate': 4.914645103324349e-05, 'epoch': 2.2642399730367373}
{'loss': 0.2819, 'grad_norm': 0.5089931488037109, 'learning_rate': 4.8247978436657684e-05, 'epoch': 2.277721604314122}
{'loss': 0.268, 'grad_norm': 0.4402022361755371, 'learning_rate': 4.734950584007188e-05, 'epoch': 2.2912032355915066}
{'loss': 0.2477, 'grad_norm': 0.5317636728286743, 'learning_rate': 4.6451033243486075e-05, 'epoch': 2.3046848668688913}
{'loss': 0.2653, 'grad_norm': 0.5265333652496338, 'learning_rate': 4.555256064690027e-05, 'epoch': 2.3181664981462755}
{'loss': 0.2571, 'grad_norm': 0.5640799403190613, 'learning_rate': 4.4654088050314466e-05, 'epoch': 2.33164812942366}
{'loss': 0.2638, 'grad_norm': 0.49474412202835083, 'learning_rate': 4.375561545372867e-05, 'epoch': 2.345129760701045}
{'loss': 0.2689, 'grad_norm': 0.5383044481277466, 'learning_rate': 4.2857142857142856e-05, 'epoch': 2.3586113919784295}
{'loss': 0.2591, 'grad_norm': 0.6398027539253235, 'learning_rate': 4.195867026055705e-05, 'epoch': 2.3720930232558137}
{'loss': 0.2869, 'grad_norm': 0.5971097946166992, 'learning_rate': 4.1060197663971254e-05, 'epoch': 2.3855746545331984}
{'loss': 0.295, 'grad_norm': 0.46931079030036926, 'learning_rate': 4.016172506738545e-05, 'epoch': 2.399056285810583}
{'loss': 0.2709, 'grad_norm': 0.5143413543701172, 'learning_rate': 3.9263252470799644e-05, 'epoch': 2.4125379170879677}
{'loss': 0.2479, 'grad_norm': 0.510903000831604, 'learning_rate': 3.836477987421384e-05, 'epoch': 2.4260195483653524}
{'loss': 0.2684, 'grad_norm': 0.6356077194213867, 'learning_rate': 3.7466307277628035e-05, 'epoch': 2.4395011796427366}
{'loss': 0.2606, 'grad_norm': 0.45965123176574707, 'learning_rate': 3.656783468104223e-05, 'epoch': 2.4529828109201213}
{'loss': 0.2675, 'grad_norm': 0.5722549557685852, 'learning_rate': 3.5669362084456426e-05, 'epoch': 2.466464442197506}
{'loss': 0.2653, 'grad_norm': 0.48787087202072144, 'learning_rate': 3.477088948787062e-05, 'epoch': 2.4799460734748906}
{'loss': 0.2527, 'grad_norm': 0.5377815961837769, 'learning_rate': 3.3872416891284816e-05, 'epoch': 2.493427704752275}
{'loss': 0.2805, 'grad_norm': 0.5396244525909424, 'learning_rate': 3.297394429469901e-05, 'epoch': 2.5069093360296595}
{'loss': 0.2344, 'grad_norm': 0.5244023203849792, 'learning_rate': 3.207547169811321e-05, 'epoch': 2.520390967307044}
{'loss': 0.2496, 'grad_norm': 0.41550660133361816, 'learning_rate': 3.11769991015274e-05, 'epoch': 2.533872598584429}
{'loss': 0.2786, 'grad_norm': 0.5249817371368408, 'learning_rate': 3.02785265049416e-05, 'epoch': 2.5473542298618135}
{'loss': 0.2512, 'grad_norm': 0.48981302976608276, 'learning_rate': 2.9380053908355796e-05, 'epoch': 2.5608358611391977}
{'loss': 0.2538, 'grad_norm': 0.4776212275028229, 'learning_rate': 2.8481581311769995e-05, 'epoch': 2.5743174924165824}
{'loss': 0.2762, 'grad_norm': 0.6161126494407654, 'learning_rate': 2.7583108715184187e-05, 'epoch': 2.587799123693967}
{'loss': 0.271, 'grad_norm': 0.5620333552360535, 'learning_rate': 2.6684636118598382e-05, 'epoch': 2.6012807549713517}
{'loss': 0.2752, 'grad_norm': 0.47542986273765564, 'learning_rate': 2.578616352201258e-05, 'epoch': 2.614762386248736}
{'loss': 0.2964, 'grad_norm': 0.6436498165130615, 'learning_rate': 2.4887690925426776e-05, 'epoch': 2.6282440175261206}
{'loss': 0.2506, 'grad_norm': 0.5253905057907104, 'learning_rate': 2.3989218328840972e-05, 'epoch': 2.6417256488035052}
{'loss': 0.2601, 'grad_norm': 0.5983251929283142, 'learning_rate': 2.3090745732255167e-05, 'epoch': 2.65520728008089}
{'loss': 0.2586, 'grad_norm': 0.42351680994033813, 'learning_rate': 2.2192273135669366e-05, 'epoch': 2.6686889113582746}
{'loss': 0.2569, 'grad_norm': 0.48444849252700806, 'learning_rate': 2.1293800539083558e-05, 'epoch': 2.682170542635659}
{'loss': 0.2658, 'grad_norm': 0.6163204908370972, 'learning_rate': 2.0395327942497757e-05, 'epoch': 2.6956521739130435}
{'loss': 0.2547, 'grad_norm': 0.47965487837791443, 'learning_rate': 1.9496855345911952e-05, 'epoch': 2.709133805190428}
{'loss': 0.2628, 'grad_norm': 0.6682636141777039, 'learning_rate': 1.8598382749326147e-05, 'epoch': 2.7226154364678123}
{'loss': 0.2612, 'grad_norm': 0.47609081864356995, 'learning_rate': 1.7699910152740342e-05, 'epoch': 2.736097067745197}
{'loss': 0.268, 'grad_norm': 0.6143545508384705, 'learning_rate': 1.6801437556154538e-05, 'epoch': 2.7495786990225817}
{'loss': 0.2566, 'grad_norm': 0.4556432366371155, 'learning_rate': 1.5902964959568733e-05, 'epoch': 2.7630603302999663}
{'loss': 0.2667, 'grad_norm': 0.4950704276561737, 'learning_rate': 1.500449236298293e-05, 'epoch': 2.776541961577351}
{'loss': 0.2699, 'grad_norm': 0.5320197343826294, 'learning_rate': 1.4106019766397124e-05, 'epoch': 2.7900235928547357}
{'loss': 0.2723, 'grad_norm': 0.48328062891960144, 'learning_rate': 1.320754716981132e-05, 'epoch': 2.80350522413212}
{'loss': 0.3017, 'grad_norm': 0.5997993350028992, 'learning_rate': 1.2309074573225516e-05, 'epoch': 2.8169868554095046}
{'loss': 0.2502, 'grad_norm': 0.5522887706756592, 'learning_rate': 1.1410601976639713e-05, 'epoch': 2.830468486686889}
{'loss': 0.2612, 'grad_norm': 0.5638915300369263, 'learning_rate': 1.0512129380053909e-05, 'epoch': 2.8439501179642734}
