📥 Caricamento modello: Qwen/Qwen2.5-3B-Instruct...
🚀 Lancio Training Qwen 3B - Mode: Ground Truth + Quality Checks
{'loss': 0.0364, 'grad_norm': 1.453125, 'learning_rate': 1.9771428571428574e-05, 'num_tokens': 18632.0, 'completions/mean_length': 35.2, 'completions/min_length': 29.4, 'completions/max_length': 44.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 35.2, 'completions/min_terminated_length': 29.4, 'completions/max_terminated_length': 44.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.7569353476166725, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.5958042502403259, 'rewards/reward_technical_quality_fn/mean': 2.4, 'rewards/reward_technical_quality_fn/std': 0.45534553527832033, 'reward': 4.156935358047486, 'reward_std': 0.7964263498783112, 'frac_reward_zero_std': 0.1, 'entropy': 0.522354993969202, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 18.117769380146637, 'epoch': 0.01}
{'loss': -0.0469, 'grad_norm': 1.921875, 'learning_rate': 1.662857142857143e-05, 'num_tokens': 223552.0, 'completions/mean_length': 26.95, 'completions/min_length': 21.6, 'completions/max_length': 34.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 26.95, 'completions/min_terminated_length': 21.6, 'completions/max_terminated_length': 34.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.8921407103538513, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.4048952668905258, 'rewards/reward_technical_quality_fn/mean': 2.125, 'rewards/reward_technical_quality_fn/std': 0.5809693068265915, 'reward': 4.0171407699584964, 'reward_std': 0.8166305541992187, 'frac_reward_zero_std': 0.0, 'entropy': 0.5318704098463058, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 16.303780800034293, 'epoch': 0.06}
{'loss': -0.0308, 'grad_norm': 1.8359375, 'learning_rate': 1.6342857142857146e-05, 'num_tokens': 241804.0, 'completions/mean_length': 26.6, 'completions/min_length': 22.0, 'completions/max_length': 32.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 26.6, 'completions/min_terminated_length': 22.0, 'completions/max_terminated_length': 32.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.6495509266853332, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.38878951370716097, 'rewards/reward_technical_quality_fn/mean': 2.2125, 'rewards/reward_technical_quality_fn/std': 0.6468444049358368, 'reward': 3.862051010131836, 'reward_std': 0.7923120617866516, 'frac_reward_zero_std': 0.0, 'entropy': 0.5041089534759522, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 15.734468239918352, 'epoch': 0.07}
{'loss': -0.0369, 'grad_norm': 1.453125, 'learning_rate': 1.605714285714286e-05, 'num_tokens': 259696.0, 'completions/mean_length': 26.8, 'completions/min_length': 21.6, 'completions/max_length': 33.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 26.8, 'completions/min_terminated_length': 21.6, 'completions/max_terminated_length': 33.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.9523362994194031, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.43577434718608854, 'rewards/reward_technical_quality_fn/mean': 2.125, 'rewards/reward_technical_quality_fn/std': 0.6458942890167236, 'reward': 4.077336215972901, 'reward_std': 0.768384850025177, 'frac_reward_zero_std': 0.0, 'entropy': 0.5703703477978707, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 15.784390060021542, 'epoch': 0.07}
{'loss': -0.0402, 'grad_norm': 2.90625, 'learning_rate': 1.577142857142857e-05, 'num_tokens': 277882.0, 'completions/mean_length': 27.95, 'completions/min_length': 22.4, 'completions/max_length': 34.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 27.95, 'completions/min_terminated_length': 22.4, 'completions/max_terminated_length': 34.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.8840955853462219, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.3971527755260468, 'rewards/reward_technical_quality_fn/mean': 2.425, 'rewards/reward_technical_quality_fn/std': 0.47741920948028566, 'reward': 4.309095621109009, 'reward_std': 0.6560979425907135, 'frac_reward_zero_std': 0.0, 'entropy': 0.5918851032853126, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 16.135198860103266, 'epoch': 0.08}
{'loss': 0.0124, 'grad_norm': 1.5078125, 'learning_rate': 1.5485714285714287e-05, 'num_tokens': 296289.0, 'completions/mean_length': 29.975, 'completions/min_length': 24.6, 'completions/max_length': 36.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 29.975, 'completions/min_terminated_length': 24.6, 'completions/max_terminated_length': 36.2, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 1.1064401626586915, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.7355321288108826, 'rewards/reward_technical_quality_fn/mean': 2.425, 'rewards/reward_technical_quality_fn/std': 0.5117337226867675, 'reward': 4.531440162658692, 'reward_std': 0.9371745347976684, 'frac_reward_zero_std': 0.0, 'entropy': 0.5957646697759629, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 16.451558699971066, 'epoch': 0.08}
{'loss': 0.016, 'grad_norm': 2.453125, 'learning_rate': 1.5200000000000002e-05, 'num_tokens': 315075.0, 'completions/mean_length': 31.15, 'completions/min_length': 25.8, 'completions/max_length': 38.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 31.15, 'completions/min_terminated_length': 25.8, 'completions/max_terminated_length': 38.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.6929922640323639, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.5815240025520325, 'rewards/reward_technical_quality_fn/mean': 2.375, 'rewards/reward_technical_quality_fn/std': 0.4847500503063202, 'reward': 4.067992401123047, 'reward_std': 0.7990794718265534, 'frac_reward_zero_std': 0.0, 'entropy': 0.6009763866662979, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 17.224186840024778, 'epoch': 0.09}
{'loss': -0.0027, 'grad_norm': 2.109375, 'learning_rate': 1.4914285714285715e-05, 'num_tokens': 333656.0, 'completions/mean_length': 31.125, 'completions/min_length': 26.6, 'completions/max_length': 36.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 31.125, 'completions/min_terminated_length': 26.6, 'completions/max_terminated_length': 36.2, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.8734166741371154, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.6271776914596557, 'rewards/reward_technical_quality_fn/mean': 2.5, 'rewards/reward_technical_quality_fn/std': 0.47382221817970277, 'reward': 4.373416709899902, 'reward_std': 0.826212465763092, 'frac_reward_zero_std': 0.0, 'entropy': 0.5779495671391487, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 16.651519140019083, 'epoch': 0.09}
{'loss': 0.0257, 'grad_norm': 1.6015625, 'learning_rate': 1.462857142857143e-05, 'num_tokens': 352428.0, 'completions/mean_length': 31.5, 'completions/min_length': 26.6, 'completions/max_length': 36.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 31.5, 'completions/min_terminated_length': 26.6, 'completions/max_terminated_length': 36.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 1.0368049263954162, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.716464227437973, 'rewards/reward_technical_quality_fn/mean': 2.425, 'rewards/reward_technical_quality_fn/std': 0.4628943860530853, 'reward': 4.461804962158203, 'reward_std': 0.9182794868946076, 'frac_reward_zero_std': 0.0, 'entropy': 0.569384579360485, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 16.811607179930434, 'epoch': 0.1}
{'loss': -0.014, 'grad_norm': 1.734375, 'learning_rate': 1.4342857142857145e-05, 'num_tokens': 370734.0, 'completions/mean_length': 30.75, 'completions/min_length': 25.2, 'completions/max_length': 35.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 30.75, 'completions/min_terminated_length': 25.2, 'completions/max_terminated_length': 35.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 0.7274778544902801, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.7756857991218566, 'rewards/reward_technical_quality_fn/mean': 2.5125, 'rewards/reward_technical_quality_fn/std': 0.6016008377075195, 'reward': 4.239977741241455, 'reward_std': 0.8628906726837158, 'frac_reward_zero_std': 0.0, 'entropy': 0.5849373109638691, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 16.313625320023856, 'epoch': 0.1}
{'loss': 0.0201, 'grad_norm': 1.296875, 'learning_rate': 1.4057142857142858e-05, 'num_tokens': 389975.0, 'completions/mean_length': 29.925, 'completions/min_length': 25.2, 'completions/max_length': 35.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 29.925, 'completions/min_terminated_length': 25.2, 'completions/max_terminated_length': 35.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 1.0809552550315857, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.6856490850448609, 'rewards/reward_technical_quality_fn/mean': 2.675, 'rewards/reward_technical_quality_fn/std': 0.4628943860530853, 'reward': 4.755955219268799, 'reward_std': 0.7249550938606262, 'frac_reward_zero_std': 0.1, 'entropy': 0.6141484517604112, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 16.99733224005904, 'epoch': 0.11}
{'loss': -0.0132, 'grad_norm': 1.65625, 'learning_rate': 1.3771428571428574e-05, 'num_tokens': 408441.0, 'completions/mean_length': 30.35, 'completions/min_length': 24.4, 'completions/max_length': 37.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 30.35, 'completions/min_terminated_length': 24.4, 'completions/max_terminated_length': 37.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 1.2713021039962769, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.7503346920013427, 'rewards/reward_technical_quality_fn/mean': 2.65, 'rewards/reward_technical_quality_fn/std': 0.3846505284309387, 'reward': 4.921302032470703, 'reward_std': 0.8946747779846191, 'frac_reward_zero_std': 0.0, 'entropy': 0.5531535267829895, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 16.730288040009327, 'epoch': 0.11}
{'loss': -0.0148, 'grad_norm': 1.9765625, 'learning_rate': 1.3485714285714286e-05, 'num_tokens': 429125.0, 'completions/mean_length': 29.8, 'completions/min_length': 24.4, 'completions/max_length': 36.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 29.8, 'completions/min_terminated_length': 24.4, 'completions/max_terminated_length': 36.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 1.069954514503479, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.5569070458412171, 'rewards/reward_technical_quality_fn/mean': 2.425, 'rewards/reward_technical_quality_fn/std': 0.49153935313224795, 'reward': 4.494954395294189, 'reward_std': 0.6901740550994873, 'frac_reward_zero_std': 0.0, 'entropy': 0.6166268572211265, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 18.745615220023318, 'epoch': 0.12}
{'loss': -0.0057, 'grad_norm': 1.796875, 'learning_rate': 1.3200000000000002e-05, 'num_tokens': 447245.0, 'completions/mean_length': 30.2, 'completions/min_length': 24.8, 'completions/max_length': 36.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 30.2, 'completions/min_terminated_length': 24.8, 'completions/max_terminated_length': 36.8, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_similarity_to_ground_truth_fn/mean': 1.0910894870758057, 'rewards/reward_similarity_to_ground_truth_fn/std': 0.5056861191987991, 'rewards/reward_technical_quality_fn/mean': 2.625, 'rewards/reward_technical_quality_fn/std': 0.4881603717803955, 'reward': 4.71608943939209, 'reward_std': 0.6731169044971466, 'frac_reward_zero_std': 0.0, 'entropy': 0.6236903890967369, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 16.665797200077215, 'epoch': 0.12}
