Step: 1 - {'loss': 0.0332, 'grad_norm': 1.030318021774292, 'learning_rate': 5e-05, 'num_tokens': 2108.0, 'completions/mean_length': 79.0, 'completions/min_length': 74.0, 'completions/max_length': 84.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 79.0, 'completions/min_terminated_length': 74.0, 'completions/max_terminated_length': 84.0, 'rewards/reward_strict_format_fn/mean': 3.75, 'rewards/reward_strict_format_fn/std': 1.5, 'rewards/reward_accuracy_strict_fn/mean': 7.5, 'rewards/reward_accuracy_strict_fn/std': 9.0, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 2.5501444339752197, 'rewards/reward_semantic_fn/std': 1.6113839149475098, 'reward': 13.80014419555664, 'reward_std': 8.191094398498535, 'frac_reward_zero_std': 0.0, 'kl': 0.0, 'entropy': 1.8241576850414276, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 5.634359300049255, 'epoch': 0.0005733944954128441}
Step: 12 - {'loss': -0.2613, 'grad_norm': 0.5519747734069824, 'learning_rate': 4.842857142857143e-05, 'num_tokens': 27613.0, 'completions/mean_length': 209.75, 'completions/min_length': 89.0, 'completions/max_length': 250.0, 'completions/clipped_ratio': 0.75, 'completions/mean_terminated_length': 89.0, 'completions/min_terminated_length': 89.0, 'completions/max_terminated_length': 89.0, 'rewards/reward_strict_format_fn/mean': 1.5, 'rewards/reward_strict_format_fn/std': 4.242640495300293, 'rewards/reward_accuracy_strict_fn/mean': 5.25, 'rewards/reward_accuracy_strict_fn/std': 8.057087898254395, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 3.886226177215576, 'rewards/reward_semantic_fn/std': 0.42106112837791443, 'reward': 10.636225700378418, 'reward_std': 10.817991256713867, 'frac_reward_zero_std': 0.0, 'kl': 0.008829897386021912, 'entropy': 2.9548930525779724, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.250359399971785, 'epoch': 0.006880733944954129}
Step: 13 - {'loss': 0.3981, 'grad_norm': 0.7707141041755676, 'learning_rate': 4.828571428571429e-05, 'num_tokens': 29919.0, 'completions/mean_length': 133.5, 'completions/min_length': 74.0, 'completions/max_length': 250.0, 'completions/clipped_ratio': 0.25, 'completions/mean_terminated_length': 94.66667175292969, 'completions/min_terminated_length': 74.0, 'completions/max_terminated_length': 112.0, 'rewards/reward_strict_format_fn/mean': -1.5, 'rewards/reward_strict_format_fn/std': 10.099504470825195, 'rewards/reward_accuracy_strict_fn/mean': -1.5, 'rewards/reward_accuracy_strict_fn/std': 2.886751413345337, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 2.725254774093628, 'rewards/reward_semantic_fn/std': 2.5048599243164062, 'reward': -0.27474498748779297, 'reward_std': 14.688867568969727, 'frac_reward_zero_std': 0.0, 'kl': 0.00521450606174767, 'entropy': 3.7033641636371613, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 11.81027710007038, 'epoch': 0.007454128440366973}
Step: 14 - {'loss': 0.1072, 'grad_norm': 0.6769421100616455, 'learning_rate': 4.8142857142857147e-05, 'num_tokens': 32402.0, 'completions/mean_length': 152.75, 'completions/min_length': 113.0, 'completions/max_length': 250.0, 'completions/clipped_ratio': 0.25, 'completions/mean_terminated_length': 120.33333587646484, 'completions/min_terminated_length': 113.0, 'completions/max_terminated_length': 130.0, 'rewards/reward_strict_format_fn/mean': 3.75, 'rewards/reward_strict_format_fn/std': 1.5, 'rewards/reward_accuracy_strict_fn/mean': 6.5, 'rewards/reward_accuracy_strict_fn/std': 6.350852966308594, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 3.270099401473999, 'rewards/reward_semantic_fn/std': 0.21031393110752106, 'reward': 13.520099639892578, 'reward_std': 7.385931491851807, 'frac_reward_zero_std': 0.0, 'kl': 0.0037627392448484898, 'entropy': 1.964195966720581, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 11.891517800017027, 'epoch': 0.008027522935779817}
Step: 15 - {'loss': -0.0901, 'grad_norm': 0.7431815266609192, 'learning_rate': 4.8e-05, 'num_tokens': 34864.0, 'completions/mean_length': 148.5, 'completions/min_length': 80.0, 'completions/max_length': 204.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 148.5, 'completions/min_terminated_length': 80.0, 'completions/max_terminated_length': 204.0, 'rewards/reward_strict_format_fn/mean': 1.5, 'rewards/reward_strict_format_fn/std': 2.4494898319244385, 'rewards/reward_accuracy_strict_fn/mean': 3.75, 'rewards/reward_accuracy_strict_fn/std': 5.5, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 2.4977405071258545, 'rewards/reward_semantic_fn/std': 2.3383071422576904, 'reward': 7.747740268707275, 'reward_std': 7.7002058029174805, 'frac_reward_zero_std': 0.0, 'kl': 0.005115455365739763, 'entropy': 2.396796703338623, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 9.951529199985089, 'epoch': 0.008600917431192661}
Step: 16 - {'loss': -0.281, 'grad_norm': 0.8862431049346924, 'learning_rate': 4.785714285714286e-05, 'num_tokens': 37221.0, 'completions/mean_length': 124.25, 'completions/min_length': 79.0, 'completions/max_length': 239.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 124.25, 'completions/min_terminated_length': 79.0, 'completions/max_terminated_length': 239.0, 'rewards/reward_strict_format_fn/mean': 3.75, 'rewards/reward_strict_format_fn/std': 1.5, 'rewards/reward_accuracy_strict_fn/mean': 6.5, 'rewards/reward_accuracy_strict_fn/std': 6.350852966308594, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 3.526297092437744, 'rewards/reward_semantic_fn/std': 0.09744270890951157, 'reward': 13.776296615600586, 'reward_std': 7.264000415802002, 'frac_reward_zero_std': 0.0, 'kl': 0.00813884474337101, 'entropy': 2.4963590502738953, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 11.415280199929839, 'epoch': 0.009174311926605505}
Step: 17 - {'loss': -0.0843, 'grad_norm': 0.9428052306175232, 'learning_rate': 4.771428571428572e-05, 'num_tokens': 39417.0, 'completions/mean_length': 101.0, 'completions/min_length': 81.0, 'completions/max_length': 139.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 101.0, 'completions/min_terminated_length': 81.0, 'completions/max_terminated_length': 139.0, 'rewards/reward_strict_format_fn/mean': 1.5, 'rewards/reward_strict_format_fn/std': 4.242640495300293, 'rewards/reward_accuracy_strict_fn/mean': -0.25, 'rewards/reward_accuracy_strict_fn/std': 2.5, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 3.8029353618621826, 'rewards/reward_semantic_fn/std': 0.44385913014411926, 'reward': 5.0529351234436035, 'reward_std': 4.669312000274658, 'frac_reward_zero_std': 0.0, 'kl': 0.009290956484619528, 'entropy': 1.9785860776901245, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 7.472095300006913, 'epoch': 0.00974770642201835}
Step: 18 - {'loss': -0.1115, 'grad_norm': 0.793515682220459, 'learning_rate': 4.757142857142857e-05, 'num_tokens': 41753.0, 'completions/mean_length': 115.0, 'completions/min_length': 83.0, 'completions/max_length': 151.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 115.0, 'completions/min_terminated_length': 83.0, 'completions/max_terminated_length': 151.0, 'rewards/reward_strict_format_fn/mean': 0.75, 'rewards/reward_strict_format_fn/std': 1.5, 'rewards/reward_accuracy_strict_fn/mean': 4.0, 'rewards/reward_accuracy_strict_fn/std': 9.237604141235352, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 3.2964529991149902, 'rewards/reward_semantic_fn/std': 0.8701003789901733, 'reward': 8.046453475952148, 'reward_std': 9.62206745147705, 'frac_reward_zero_std': 0.0, 'kl': 0.00652196875307709, 'entropy': 1.668409138917923, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 7.698510900023393, 'epoch': 0.010321100917431193}
Step: 19 - {'loss': 0.169, 'grad_norm': 0.691017746925354, 'learning_rate': 4.742857142857143e-05, 'num_tokens': 44225.0, 'completions/mean_length': 178.0, 'completions/min_length': 93.0, 'completions/max_length': 250.0, 'completions/clipped_ratio': 0.5, 'completions/mean_terminated_length': 106.0, 'completions/min_terminated_length': 93.0, 'completions/max_terminated_length': 119.0, 'rewards/reward_strict_format_fn/mean': -2.25, 'rewards/reward_strict_format_fn/std': 6.652067184448242, 'rewards/reward_accuracy_strict_fn/mean': 2.5, 'rewards/reward_accuracy_strict_fn/std': 6.757711887359619, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 2.5641367435455322, 'rewards/reward_semantic_fn/std': 2.39178466796875, 'reward': 2.8141367435455322, 'reward_std': 13.643450736999512, 'frac_reward_zero_std': 0.0, 'kl': 0.011428041034378111, 'entropy': 2.5367259979248047, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.009971600025892, 'epoch': 0.010894495412844037}
Step: 20 - {'loss': -0.127, 'grad_norm': 0.6536772847175598, 'learning_rate': 4.728571428571429e-05, 'num_tokens': 46453.0, 'completions/mean_length': 119.0, 'completions/min_length': 85.0, 'completions/max_length': 180.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 119.0, 'completions/min_terminated_length': 85.0, 'completions/max_terminated_length': 180.0, 'rewards/reward_strict_format_fn/mean': 3.75, 'rewards/reward_strict_format_fn/std': 1.5, 'rewards/reward_accuracy_strict_fn/mean': 1.0, 'rewards/reward_accuracy_strict_fn/std': 0.0, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 2.9430556297302246, 'rewards/reward_semantic_fn/std': 1.6099636554718018, 'reward': 7.693056106567383, 'reward_std': 3.101126194000244, 'frac_reward_zero_std': 0.0, 'kl': 0.0048857941292226315, 'entropy': 1.899444818496704, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 8.748987499973737, 'epoch': 0.011467889908256881}
Step: 21 - {'loss': -0.2297, 'grad_norm': 0.7175056338310242, 'learning_rate': 4.714285714285714e-05, 'num_tokens': 48702.0, 'completions/mean_length': 121.25, 'completions/min_length': 65.0, 'completions/max_length': 250.0, 'completions/clipped_ratio': 0.25, 'completions/mean_terminated_length': 78.33333587646484, 'completions/min_terminated_length': 65.0, 'completions/max_terminated_length': 90.0, 'rewards/reward_strict_format_fn/mean': 3.75, 'rewards/reward_strict_format_fn/std': 1.5, 'rewards/reward_accuracy_strict_fn/mean': 9.25, 'rewards/reward_accuracy_strict_fn/std': 5.5, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 2.7480967044830322, 'rewards/reward_semantic_fn/std': 1.8336702585220337, 'reward': 15.748096466064453, 'reward_std': 8.8323974609375, 'frac_reward_zero_std': 0.0, 'kl': 0.011804415611550212, 'entropy': 2.9769190847873688, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 11.73630960000446, 'epoch': 0.012041284403669725}
Step: 22 - {'loss': -0.0274, 'grad_norm': 0.7851127982139587, 'learning_rate': 4.7e-05, 'num_tokens': 51080.0, 'completions/mean_length': 147.5, 'completions/min_length': 93.0, 'completions/max_length': 250.0, 'completions/clipped_ratio': 0.25, 'completions/mean_terminated_length': 113.33333587646484, 'completions/min_terminated_length': 93.0, 'completions/max_terminated_length': 138.0, 'rewards/reward_strict_format_fn/mean': 3.75, 'rewards/reward_strict_format_fn/std': 1.5, 'rewards/reward_accuracy_strict_fn/mean': -0.75, 'rewards/reward_accuracy_strict_fn/std': 3.5, 'rewards/reward_diversity_fn/mean': 0.0, 'rewards/reward_diversity_fn/std': 0.0, 'rewards/reward_semantic_fn/mean': 3.815700054168701, 'rewards/reward_semantic_fn/std': 0.1848246306180954, 'reward': 6.815700054168701, 'reward_std': 5.122437000274658, 'frac_reward_zero_std': 0.0, 'kl': 0.005389661353547126, 'entropy': 2.129366546869278, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 11.839197299996158, 'epoch': 0.01261467889908257}
