Caricamento Reward Model (Judge)...
--- Inizio GRPO Training (Final Version) ---
⚠️  LITE MODE: Riduzione dataset a 400 esempi...
Caricamento Modello SFT da sft_xml_output...
🚀 Avvio Training GRPO...
{'loss': 0.0374, 'grad_norm': 1.2265625, 'learning_rate': 1.9733333333333332e-06, 'num_tokens': 13630.0, 'completions/mean_length': 39.75, 'completions/min_length': 30.4, 'completions/max_length': 50.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 39.75, 'completions/min_terminated_length': 30.4, 'completions/max_terminated_length': 50.0, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 4.649799346923828, 'rewards/safety_judge_reward/std': 3.3924439907073975, 'rewards/brevity_reward/mean': 0.4362500011920929, 'rewards/brevity_reward/std': 0.12427972555160523, 'reward': 6.586049365997314, 'reward_std': 3.4718069076538085, 'frac_reward_zero_std': 0.0, 'entropy': 0.41445105262100695, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.807876279950142, 'epoch': 0.03}
{'loss': -0.0171, 'grad_norm': 1.0859375, 'learning_rate': 1.6066666666666666e-06, 'num_tokens': 167639.0, 'completions/mean_length': 40.575, 'completions/min_length': 32.0, 'completions/max_length': 51.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 40.575, 'completions/min_terminated_length': 32.0, 'completions/max_terminated_length': 51.0, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 4.72176513671875, 'rewards/safety_judge_reward/std': 3.3156455993652343, 'rewards/brevity_reward/mean': 0.45625, 'rewards/brevity_reward/std': 0.09932401180267333, 'reward': 6.67801513671875, 'reward_std': 3.3088223934173584, 'frac_reward_zero_std': 0.0, 'entropy': 0.4122050318866968, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.827647180040367, 'epoch': 0.3}
{'loss': 0.0304, 'grad_norm': 1.2265625, 'learning_rate': 1.5733333333333332e-06, 'num_tokens': 181753.0, 'completions/mean_length': 42.95, 'completions/min_length': 36.0, 'completions/max_length': 52.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 42.95, 'completions/min_terminated_length': 36.0, 'completions/max_terminated_length': 52.0, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': -0.518740463256836, 'rewards/safety_judge_reward/std': 3.2853739500045775, 'rewards/brevity_reward/mean': 0.41500000059604647, 'rewards/brevity_reward/std': 0.0978624850511551, 'reward': 1.3962594985961914, 'reward_std': 3.2805102586746218, 'frac_reward_zero_std': 0.0, 'entropy': 0.35297004170715807, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.388851060066372, 'epoch': 0.33}
{'loss': -0.0168, 'grad_norm': 1.7109375, 'learning_rate': 1.5399999999999999e-06, 'num_tokens': 196141.0, 'completions/mean_length': 44.3, 'completions/min_length': 36.2, 'completions/max_length': 53.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 44.3, 'completions/min_terminated_length': 36.2, 'completions/max_terminated_length': 53.8, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 1.0452236175537108, 'rewards/safety_judge_reward/std': 4.567396640777588, 'rewards/brevity_reward/mean': 0.32500000298023224, 'rewards/brevity_reward/std': 0.19905599057674409, 'reward': 2.870223641395569, 'reward_std': 4.632333660125733, 'frac_reward_zero_std': 0.0, 'entropy': 0.3763781260699034, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 14.313630939926952, 'epoch': 0.35}
{'loss': 0.026, 'grad_norm': 0.85546875, 'learning_rate': 1.5066666666666665e-06, 'num_tokens': 210253.0, 'completions/mean_length': 45.4, 'completions/min_length': 33.6, 'completions/max_length': 61.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 45.4, 'completions/min_terminated_length': 33.6, 'completions/max_terminated_length': 61.2, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 1.94210205078125, 'rewards/safety_judge_reward/std': 4.315118408203125, 'rewards/brevity_reward/mean': 0.2925000011920929, 'rewards/brevity_reward/std': 0.2986241698265076, 'reward': 3.7346020698547364, 'reward_std': 4.520076847076416, 'frac_reward_zero_std': 0.0, 'entropy': 0.3451953545212746, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 14.867339480039664, 'epoch': 0.38}
{'loss': -0.008, 'grad_norm': 1.2890625, 'learning_rate': 1.4733333333333333e-06, 'num_tokens': 223881.0, 'completions/mean_length': 38.9, 'completions/min_length': 30.6, 'completions/max_length': 49.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 38.9, 'completions/min_terminated_length': 30.6, 'completions/max_terminated_length': 49.4, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 4.67938232421875, 'rewards/safety_judge_reward/std': 2.8342672646045686, 'rewards/brevity_reward/mean': 0.43125, 'rewards/brevity_reward/std': 0.1654527634382248, 'reward': 6.61063232421875, 'reward_std': 2.828035205602646, 'frac_reward_zero_std': 0.0, 'entropy': 0.34941285792738197, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.664323339913972, 'epoch': 0.4}
{'loss': -0.0172, 'grad_norm': 1.421875, 'learning_rate': 1.44e-06, 'num_tokens': 237508.0, 'completions/mean_length': 39.275, 'completions/min_length': 29.2, 'completions/max_length': 51.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 39.275, 'completions/min_terminated_length': 29.2, 'completions/max_terminated_length': 51.6, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 4.438397216796875, 'rewards/safety_judge_reward/std': 3.040415418148041, 'rewards/brevity_reward/mean': 0.4475000023841858, 'rewards/brevity_reward/std': 0.14849242568016052, 'reward': 6.385897254943847, 'reward_std': 3.0453177809715273, 'frac_reward_zero_std': 0.0, 'entropy': 0.39785400293767453, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.781335800024682, 'epoch': 0.42}
{'loss': -0.0276, 'grad_norm': 1.0859375, 'learning_rate': 1.4066666666666666e-06, 'num_tokens': 251354.0, 'completions/mean_length': 40.95, 'completions/min_length': 31.0, 'completions/max_length': 51.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 40.95, 'completions/min_terminated_length': 31.0, 'completions/max_terminated_length': 51.6, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 1.9390625, 'rewards/safety_judge_reward/std': 4.751154518127441, 'rewards/brevity_reward/mean': 0.4487500011920929, 'rewards/brevity_reward/std': 0.11938965618610382, 'reward': 3.8878125190734862, 'reward_std': 4.803708791732788, 'frac_reward_zero_std': 0.0, 'entropy': 0.3476720403879881, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.179261000058613, 'epoch': 0.45}
{'loss': 0.0119, 'grad_norm': 1.6171875, 'learning_rate': 1.3733333333333332e-06, 'num_tokens': 267217.0, 'completions/mean_length': 46.175, 'completions/min_length': 32.8, 'completions/max_length': 59.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 46.175, 'completions/min_terminated_length': 32.8, 'completions/max_terminated_length': 59.2, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 2.76732177734375, 'rewards/safety_judge_reward/std': 4.2834429264068605, 'rewards/brevity_reward/mean': 0.27749999463558195, 'rewards/brevity_reward/std': 0.25023936927318574, 'reward': 4.544821834564209, 'reward_std': 4.470794630050659, 'frac_reward_zero_std': 0.0, 'entropy': 0.36895417161285876, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 15.519456899981014, 'epoch': 0.47}
{'loss': -0.0032, 'grad_norm': 1.2109375, 'learning_rate': 1.34e-06, 'num_tokens': 280753.0, 'completions/mean_length': 39.2, 'completions/min_length': 33.0, 'completions/max_length': 46.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 39.2, 'completions/min_terminated_length': 33.0, 'completions/max_terminated_length': 46.8, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 5.186383056640625, 'rewards/safety_judge_reward/std': 2.5577458262443544, 'rewards/brevity_reward/mean': 0.4600000023841858, 'rewards/brevity_reward/std': 0.08655522763729095, 'reward': 7.1463830947875975, 'reward_std': 2.551421916484833, 'frac_reward_zero_std': 0.0, 'entropy': 0.40222598537802695, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.337551780045033, 'epoch': 0.5}
{'loss': 0.0135, 'grad_norm': 1.296875, 'learning_rate': 1.3066666666666665e-06, 'num_tokens': 294912.0, 'completions/mean_length': 44.175, 'completions/min_length': 31.6, 'completions/max_length': 58.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 44.175, 'completions/min_terminated_length': 31.6, 'completions/max_terminated_length': 58.0, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 4.2216552734375, 'rewards/safety_judge_reward/std': 2.568288516998291, 'rewards/brevity_reward/mean': 0.2912499964237213, 'rewards/brevity_reward/std': 0.3128989815711975, 'reward': 6.012905263900757, 'reward_std': 2.669802165031433, 'frac_reward_zero_std': 0.0, 'entropy': 0.4368895303457975, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 14.282229500031098, 'epoch': 0.53}
{'loss': -0.0335, 'grad_norm': 1.515625, 'learning_rate': 1.2733333333333334e-06, 'num_tokens': 308574.0, 'completions/mean_length': 39.25, 'completions/min_length': 32.2, 'completions/max_length': 49.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 39.25, 'completions/min_terminated_length': 32.2, 'completions/max_terminated_length': 49.6, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 4.38743896484375, 'rewards/safety_judge_reward/std': 2.2645437002182005, 'rewards/brevity_reward/mean': 0.3925000011920929, 'rewards/brevity_reward/std': 0.19264649748802185, 'reward': 6.279938960075379, 'reward_std': 2.2734917879104612, 'frac_reward_zero_std': 0.0, 'entropy': 0.43997997008264067, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.900637620012276, 'epoch': 0.55}
{'loss': -0.0067, 'grad_norm': 1.0390625, 'learning_rate': 1.24e-06, 'num_tokens': 322601.0, 'completions/mean_length': 43.175, 'completions/min_length': 33.0, 'completions/max_length': 59.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 43.175, 'completions/min_terminated_length': 33.0, 'completions/max_terminated_length': 59.6, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 3.58326416015625, 'rewards/safety_judge_reward/std': 3.0946534872055054, 'rewards/brevity_reward/mean': 0.31874999701976775, 'rewards/brevity_reward/std': 0.25775431990623476, 'reward': 5.40201416015625, 'reward_std': 3.190835690498352, 'frac_reward_zero_std': 0.0, 'entropy': 0.38070395700633525, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 14.370071159908548, 'epoch': 0.57}
{'loss': 0.0037, 'grad_norm': 1.5390625, 'learning_rate': 1.2066666666666666e-06, 'num_tokens': 336949.0, 'completions/mean_length': 44.1, 'completions/min_length': 32.4, 'completions/max_length': 56.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 44.1, 'completions/min_terminated_length': 32.4, 'completions/max_terminated_length': 56.4, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 1.59462890625, 'rewards/safety_judge_reward/std': 3.8616664886474608, 'rewards/brevity_reward/mean': 0.27625000178813935, 'rewards/brevity_reward/std': 0.2951550453901291, 'reward': 3.370878887176514, 'reward_std': 3.939486265182495, 'frac_reward_zero_std': 0.0, 'entropy': 0.3335280351340771, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.90561602008529, 'epoch': 0.6}
{'loss': 0.0063, 'grad_norm': 1.4296875, 'learning_rate': 1.1733333333333333e-06, 'num_tokens': 352026.0, 'completions/mean_length': 45.925, 'completions/min_length': 36.2, 'completions/max_length': 58.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 45.925, 'completions/min_terminated_length': 36.2, 'completions/max_terminated_length': 58.6, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 1.7141746520996093, 'rewards/safety_judge_reward/std': 4.374583005905151, 'rewards/brevity_reward/mean': 0.2899999976158142, 'rewards/brevity_reward/std': 0.2849636644124985, 'reward': 3.5041746616363527, 'reward_std': 4.410999298095703, 'frac_reward_zero_std': 0.0, 'entropy': 0.35177418142557143, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 14.837547619943507, 'epoch': 0.62}
{'loss': -0.0169, 'grad_norm': 1.2578125, 'learning_rate': 1.1399999999999999e-06, 'num_tokens': 365940.0, 'completions/mean_length': 40.75, 'completions/min_length': 33.0, 'completions/max_length': 50.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 40.75, 'completions/min_terminated_length': 33.0, 'completions/max_terminated_length': 50.4, 'rewards/xml_structure_reward/mean': 1.5, 'rewards/xml_structure_reward/std': 0.0, 'rewards/safety_judge_reward/mean': 4.9304931640625, 'rewards/safety_judge_reward/std': 2.877702236175537, 'rewards/brevity_reward/mean': 0.4487500011920929, 'rewards/brevity_reward/std': 0.1449568897485733, 'reward': 6.879243087768555, 'reward_std': 2.8549463510513307, 'frac_reward_zero_std': 0.0, 'entropy': 0.385562476888299, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.721716959890909, 'epoch': 0.65}
