📥 Caricamento modello: Qwen/Qwen2.5-3B-Instruct...
🚀 Lancio Training Qwen 3B - Safe Rule Specialist Mode
Dataset: ../dataset_qwen_safe_only
{'loss': 0.0291, 'grad_norm': 0.0, 'learning_rate': 1.9733333333333336e-05, 'num_tokens': 8466.0, 'completions/mean_length': 29.05, 'completions/min_length': 21.2, 'completions/max_length': 42.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 29.05, 'completions/min_terminated_length': 21.2, 'completions/max_terminated_length': 42.2, 'rewards/reward_xml_format_fn/mean': 0.9, 'rewards/reward_xml_format_fn/std': 0.2828427076339722, 'rewards/reward_trigger_action_relevance_fn/mean': 1.7125, 'rewards/reward_trigger_action_relevance_fn/std': 0.6464603900909424, 'reward': 2.6125, 'reward_std': 0.9293030977249146, 'frac_reward_zero_std': 0.8, 'entropy': 0.39450098648667337, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.77705787998857, 'epoch': 0.01}
{'loss': 0.027, 'grad_norm': 0.0, 'learning_rate': 1.606666666666667e-05, 'num_tokens': 103330.0, 'completions/mean_length': 29.025, 'completions/min_length': 22.4, 'completions/max_length': 40.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 29.025, 'completions/min_terminated_length': 22.4, 'completions/max_terminated_length': 40.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.3375, 'rewards/reward_trigger_action_relevance_fn/std': 0.2423750251531601, 'reward': 4.3375, 'reward_std': 0.24237500131130219, 'frac_reward_zero_std': 0.8, 'entropy': 0.33112109526991845, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.185313620005036, 'epoch': 0.06}
{'loss': -0.0115, 'grad_norm': 0.0, 'learning_rate': 1.5733333333333334e-05, 'num_tokens': 111688.0, 'completions/mean_length': 27.25, 'completions/min_length': 23.0, 'completions/max_length': 33.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 27.25, 'completions/min_terminated_length': 23.0, 'completions/max_terminated_length': 33.2, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.2, 'rewards/reward_trigger_action_relevance_fn/std': 0.34844104051589964, 'reward': 4.2, 'reward_std': 0.34844101667404176, 'frac_reward_zero_std': 0.8, 'entropy': 0.2967879965901375, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 11.889022960013245, 'epoch': 0.07}
{'loss': -0.0067, 'grad_norm': 0.0, 'learning_rate': 1.54e-05, 'num_tokens': 119720.0, 'completions/mean_length': 28.3, 'completions/min_length': 21.2, 'completions/max_length': 36.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 28.3, 'completions/min_terminated_length': 21.2, 'completions/max_terminated_length': 36.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.25, 'rewards/reward_trigger_action_relevance_fn/std': 0.3552303433418274, 'reward': 4.25, 'reward_std': 0.3552303433418274, 'frac_reward_zero_std': 0.9, 'entropy': 0.2965579953044653, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.270467019994976, 'epoch': 0.07}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 1.5066666666666668e-05, 'num_tokens': 128004.0, 'completions/mean_length': 28.4, 'completions/min_length': 22.6, 'completions/max_length': 36.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 28.4, 'completions/min_terminated_length': 22.6, 'completions/max_terminated_length': 36.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.5, 'rewards/reward_trigger_action_relevance_fn/std': 0.0, 'reward': 4.5, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'entropy': 0.3293727945536375, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.091466840001521, 'epoch': 0.08}
{'loss': -0.0413, 'grad_norm': 1.21875, 'learning_rate': 1.4733333333333335e-05, 'num_tokens': 136544.0, 'completions/mean_length': 31.3, 'completions/min_length': 22.2, 'completions/max_length': 42.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 31.3, 'completions/min_terminated_length': 22.2, 'completions/max_terminated_length': 42.8, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.15, 'rewards/reward_trigger_action_relevance_fn/std': 0.6380730509757996, 'reward': 4.15, 'reward_std': 0.6380730509757996, 'frac_reward_zero_std': 0.7, 'entropy': 0.3605759710073471, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.269853860000149, 'epoch': 0.08}
{'loss': 0.1487, 'grad_norm': 1.9140625, 'learning_rate': 1.4400000000000001e-05, 'num_tokens': 145552.0, 'completions/mean_length': 34.7, 'completions/min_length': 24.6, 'completions/max_length': 65.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 34.7, 'completions/min_terminated_length': 24.6, 'completions/max_terminated_length': 65.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.4125, 'rewards/reward_trigger_action_relevance_fn/std': 0.24748736917972564, 'reward': 4.4125, 'reward_std': 0.24748736917972564, 'frac_reward_zero_std': 0.6, 'entropy': 0.34486946538090707, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 17.509307060029823, 'epoch': 0.09}
{'loss': 0.009, 'grad_norm': 0.0, 'learning_rate': 1.4066666666666669e-05, 'num_tokens': 154291.0, 'completions/mean_length': 33.075, 'completions/min_length': 24.2, 'completions/max_length': 42.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 33.075, 'completions/min_terminated_length': 24.2, 'completions/max_terminated_length': 42.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.4375, 'rewards/reward_trigger_action_relevance_fn/std': 0.1767766922712326, 'reward': 4.4375, 'reward_std': 0.1767766922712326, 'frac_reward_zero_std': 0.8, 'entropy': 0.34429716989398, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.42241593998624, 'epoch': 0.09}
{'loss': 0.0509, 'grad_norm': 0.0, 'learning_rate': 1.3733333333333335e-05, 'num_tokens': 163102.0, 'completions/mean_length': 30.475, 'completions/min_length': 24.2, 'completions/max_length': 40.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 30.475, 'completions/min_terminated_length': 24.2, 'completions/max_terminated_length': 40.8, 'rewards/reward_xml_format_fn/mean': 0.9, 'rewards/reward_xml_format_fn/std': 0.2828427076339722, 'rewards/reward_trigger_action_relevance_fn/mean': 3.3125, 'rewards/reward_trigger_action_relevance_fn/std': 0.5303300976753235, 'reward': 4.2125, 'reward_std': 0.8131728053092957, 'frac_reward_zero_std': 0.8, 'entropy': 0.332557263225317, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.335190860001603, 'epoch': 0.1}
{'loss': 0.0356, 'grad_norm': 0.0, 'learning_rate': 1.3400000000000002e-05, 'num_tokens': 171561.0, 'completions/mean_length': 32.575, 'completions/min_length': 22.2, 'completions/max_length': 46.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 32.575, 'completions/min_terminated_length': 22.2, 'completions/max_terminated_length': 46.0, 'rewards/reward_xml_format_fn/mean': 0.9, 'rewards/reward_xml_format_fn/std': 0.2828427076339722, 'rewards/reward_trigger_action_relevance_fn/mean': 3.15, 'rewards/reward_trigger_action_relevance_fn/std': 0.7563208788633347, 'reward': 4.05, 'reward_std': 1.0283543556928634, 'frac_reward_zero_std': 0.5, 'entropy': 0.36799221448600294, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 14.781230819993652, 'epoch': 0.1}
{'loss': -0.0323, 'grad_norm': 1.96875, 'learning_rate': 1.3066666666666668e-05, 'num_tokens': 180805.0, 'completions/mean_length': 28.0, 'completions/min_length': 20.6, 'completions/max_length': 36.4, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 28.0, 'completions/min_terminated_length': 20.6, 'completions/max_terminated_length': 36.4, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.35, 'rewards/reward_trigger_action_relevance_fn/std': 0.42426406145095824, 'reward': 4.35, 'reward_std': 0.42426406145095824, 'frac_reward_zero_std': 0.7, 'entropy': 0.34240039382129905, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.28941833996796, 'epoch': 0.11}
{'loss': -0.0097, 'grad_norm': 0.0, 'learning_rate': 1.2733333333333336e-05, 'num_tokens': 189370.0, 'completions/mean_length': 30.825, 'completions/min_length': 24.2, 'completions/max_length': 40.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 30.825, 'completions/min_terminated_length': 24.2, 'completions/max_terminated_length': 40.8, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.45, 'rewards/reward_trigger_action_relevance_fn/std': 0.1414213538169861, 'reward': 4.45, 'reward_std': 0.1414213538169861, 'frac_reward_zero_std': 0.9, 'entropy': 0.34432842060923574, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.022777040011714, 'epoch': 0.11}
{'loss': -0.0075, 'grad_norm': 1.171875, 'learning_rate': 1.2400000000000002e-05, 'num_tokens': 200187.0, 'completions/mean_length': 31.125, 'completions/min_length': 24.0, 'completions/max_length': 41.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 31.125, 'completions/min_terminated_length': 24.0, 'completions/max_terminated_length': 41.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.45, 'rewards/reward_trigger_action_relevance_fn/std': 0.1414213538169861, 'reward': 4.45, 'reward_std': 0.1414213538169861, 'frac_reward_zero_std': 0.9, 'entropy': 0.38549307025969026, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 14.902255920000608, 'epoch': 0.12}
{'loss': 0.0053, 'grad_norm': 0.0, 'learning_rate': 1.206666666666667e-05, 'num_tokens': 208289.0, 'completions/mean_length': 27.75, 'completions/min_length': 21.4, 'completions/max_length': 38.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 27.75, 'completions/min_terminated_length': 21.4, 'completions/max_terminated_length': 38.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.425, 'rewards/reward_trigger_action_relevance_fn/std': 0.13887301683425904, 'reward': 4.425, 'reward_std': 0.13887301683425904, 'frac_reward_zero_std': 0.9, 'entropy': 0.3265225954353809, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.579198660003021, 'epoch': 0.12}
{'loss': -0.0086, 'grad_norm': 0.0, 'learning_rate': 1.1733333333333335e-05, 'num_tokens': 216979.0, 'completions/mean_length': 30.85, 'completions/min_length': 21.6, 'completions/max_length': 44.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 30.85, 'completions/min_terminated_length': 21.6, 'completions/max_terminated_length': 44.6, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.4375, 'rewards/reward_trigger_action_relevance_fn/std': 0.1767766922712326, 'reward': 4.4375, 'reward_std': 0.1767766922712326, 'frac_reward_zero_std': 0.8, 'entropy': 0.3125649854540825, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.672012539982097, 'epoch': 0.13}
{'loss': 0.0005, 'grad_norm': 0.0, 'learning_rate': 1.14e-05, 'num_tokens': 225506.0, 'completions/mean_length': 28.275, 'completions/min_length': 22.4, 'completions/max_length': 36.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 28.275, 'completions/min_terminated_length': 22.4, 'completions/max_terminated_length': 36.2, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.45, 'rewards/reward_trigger_action_relevance_fn/std': 0.1414213538169861, 'reward': 4.45, 'reward_std': 0.1414213538169861, 'frac_reward_zero_std': 0.9, 'entropy': 0.32516082786023615, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.44971072000917, 'epoch': 0.13}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 1.1066666666666669e-05, 'num_tokens': 234080.0, 'completions/mean_length': 28.35, 'completions/min_length': 20.2, 'completions/max_length': 42.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 28.35, 'completions/min_terminated_length': 20.2, 'completions/max_terminated_length': 42.8, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.5, 'rewards/reward_trigger_action_relevance_fn/std': 0.0, 'reward': 4.5, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'entropy': 0.38029955960810186, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.313653780013556, 'epoch': 0.14}
{'loss': -0.0203, 'grad_norm': 1.3203125, 'learning_rate': 1.0733333333333333e-05, 'num_tokens': 242663.0, 'completions/mean_length': 34.275, 'completions/min_length': 23.6, 'completions/max_length': 50.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 34.275, 'completions/min_terminated_length': 23.6, 'completions/max_terminated_length': 50.0, 'rewards/reward_xml_format_fn/mean': 1.0, 'rewards/reward_xml_format_fn/std': 0.0, 'rewards/reward_trigger_action_relevance_fn/mean': 3.375, 'rewards/reward_trigger_action_relevance_fn/std': 0.1752549171447754, 'reward': 4.375, 'reward_std': 0.1752549171447754, 'frac_reward_zero_std': 0.9, 'entropy': 0.3243900339119136, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 14.788894859992434, 'epoch': 0.14}
